submission_pk,User,Inference (MAE),Inference (MAE),Inference (MAE),Model Classification (F1),Model Classification (F1),Model Classification (F1),Segmentation (<rank>),Segmentation (<rank>),Segmentation (<rank>)
,1D,2D,3D,1D,2D,3D,1D,2D,3D
721580,OscarGaribo,0.169 (3),0.897 (2),4.00 (4),,,,,,,,,,
721208,stefabo,0.152 (2),0.782 (5),1.00 (1),,,,,,,,,,
721760,huangzh10,0.663 (7),0.199 (9),3.00 (3),,,,,,,,,,
721722,blandt,100.000 (8),0.000 (10),4.00 (4),,,,,,,,,,
695617,hverdier,100.000 (8),0.000 (10),4.00 (4),,,,,,,,,,
721839,giovolpe,0.176 (4),0.912 (1),4.00 (4),,,,,,,,,,
716233,hkabbech,0.152 (1),0.880 (3),4.00 (4),,,,,,,,,,
721847,samudrajit,0.305 (6),0.440 (7),2.00 (2),,,,,,,,,,
721632,TaegeunSong,100.000 (8),0.000 (10),4.00 (4),,,,,,,,,,
685693,cmanzo,100.000 (8),0.000 (10),4.00 (4),,,,,,,,,,
721810,Erezagh,0.295 (5),0.389 (8),4.00 (4),,,,,,,,,,
714087,TaegeunSong,100.000 (8),0.000 (10),4.00 (4),,,,,,,,,,
721822,LochOlszewska,100.000 (8),0.794 (4),4.00 (4),,,,,,,,,,
721795,jaroslaw.opala,100.000 (8),0.646 (6),4.00 (4),,,,,,,,,,
721716,magmarch,100.000 (8),0.000 (10),4.00 (4),,,,,,,,,,
720677,BorjaRequena,100.000 (8),0.000 (10),4.00 (4),,,,,,,,,,
submission_pk,User,Inference (MAE),Inference (MAE),Inference (MAE),Model Classification (F1),Model Classification (F1),Model Classification (F1),Changepoint loc. prec. (RMSE),Changepoint loc. prec. (RMSE),Changepoint loc. prec. (RMSE)
,1D,2D,3D,1D,2D,3D,1D,2D,3D
721208,stefabo,0.294 (1),0.570 (1),31.583 (1),,,,,,,,,,
721847,samudrajit,0.403 (2),0.312 (2),50.182 (2),,,,,,,,,,
721722,blandt,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
721760,huangzh10,0.646 (3),0.208 (3),80.796 (3),,,,,,,,,,
721839,giovolpe,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
721822,LochOlszewska,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
721795,jaroslaw.opala,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
721810,Erezagh,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
721716,magmarch,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
721632,TaegeunSong,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
721580,OscarGaribo,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
720677,BorjaRequena,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
685693,cmanzo,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
716233,hkabbech,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
714087,TaegeunSong,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
695617,hverdier,100.000 (4),0.000 (4),200.000 (4),,,,,,,,,,
