submission_pk,User,total,aircraft,cifar100,daimlerpedcls,dtd,gtsrb,imagenet12,omniglot,svhn,ucf101,vgg-flowers
405655,andreavedaldi,8986.20 (1),995.47 (1),998.32 (1),770.91 (1),983.32 (1),1000.00 (1),378.48 (1),968.96 (1),890.74 (1),1000.00 (1),1000.00 (1),
407831,srebuffi,8986.20 (1),995.47 (1),998.32 (1),770.91 (1),983.32 (1),1000.00 (1),378.48 (1),968.96 (1),890.74 (1),1000.00 (1),1000.00 (1),
770340,himanshuaswani,0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),
599520,Takeda_test,0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),
