submission_pk,User,Task1,Task2,AVG 1,Duration
657822,hurrial,- (-),- (-),- (-),0.00 (1),
618723,ardaakdemir,- (-),- (-),- (-),0.00 (1),
submission_pk,User,Task1,Task 2,AVG 2
618723,ardaakdemir,,,- (-),
657822,hurrial,,,- (-),
submission_pk,User,Task 3 Final,Precision,Recall,Average
618723,ardaakdemir,,,,- (-),
657822,hurrial,,,,- (-),
