submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
590974,jimmy_jeong,38.11 (7),0.99 (7),0.13 (3),0.00 (1),0.00 (1),
590973,sangmin_kim,39.41 (5),0.99 (5),0.20 (2),0.00 (1),0.00 (1),
590967,opteroncx,39.21 (6),0.99 (6),0.13 (4),0.00 (1),0.00 (1),
590966,neptuneai,30.10 (9),0.95 (9),0.01 (5),0.00 (1),0.00 (1),
590965,cilab,37.55 (8),0.98 (8),0.01 (6),0.00 (1),0.00 (1),
590956,proteus1991,40.86 (3),0.99 (3),0.28 (1),0.00 (1),0.00 (1),
593902,q935970314,25.18 (10),0.77 (10),-1.00 (7),-1.00 (2),-1.00 (2),
590969,ir1d,40.58 (4),0.99 (4),-1.00 (7),-1.00 (2),-1.00 (2),
590955,QQFlyCar,42.08 (1),0.99 (1),-1.00 (7),-1.00 (2),-1.00 (2),
590964,cjsoft,41.56 (2),0.99 (2),-1.00 (7),-1.00 (2),-1.00 (2),
