submission_pk,User,AP
593884,lzhbrian,0.579356 (1),
587787,ShenhanQian,0.579296 (2),
578769,alexander.krapivin,0.564441 (3),
543671,geyuying,0.528483 (4),
594636,tfzhou.ai,0.490166 (5),
585984,DeepBlueAI,0.478259 (6),
591085,TROY.MAO,0.450493 (7),
