submission_pk,User,Average AP
485815,zed0630,0.6725 (1),
485769,hongsong.wang,0.6569 (2),
485569,saberZero,0.6362 (3),
485763,deepsmart,0.6287 (4),
485776,ws,0.6283 (5),
485575,LeoXie,0.6274 (6),
485746,sunshine,0.6258 (7),
485658,dereyly,0.6254 (8),
485614,boke,0.6207 (9),
485836,zeenolife,0.6168 (10),
485843,luoyan,0.6002 (11),
485772,foobar,0.5923 (12),
485278,ZhangYuqi,0.5875 (13),
485475,guan,0.5872 (14),
484527,chenm,0.5791 (15),
485703,Vicky,0.5773 (16),
485583,herrylu,0.5766 (17),
485733,topc,0.5726 (18),
484779,ctt,0.5617 (19),
485740,shirley.s,0.5609 (20),
485399,sk15,0.5605 (21),
483587,Vick,0.5578 (22),
485465,guyubit,0.5473 (23),
485725,lambdayin,0.5400 (24),
483802,chuchen,0.5335 (25),
483337,Cheng,0.4900 (26),
485609,xzgz,0.4061 (27),
481318,wider,0.2954 (28),
