submission_pk,User,wer (%)
829465,Anonymous,23.50 (1),
838236,Anonymous,39.98 (2),
837995,Anonymous,40.27 (3),
837947,Anonymous,40.69 (4),
837892,Anonymous,40.87 (5),
819722,Anonymous,45.21 (6),
832269,Anonymous,66.09 (7),
832790,Anonymous,113.80 (8),
