submission_pk,User,mAP@0.50,mAP@0.55,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,Avg.mAP
935791,flyDeeper,22.232 (1),20.682 (1),19.321 (1),17.563 (1),16.040 (1),13.795 (1),11.756 (2),8.953 (3),5.745 (3),2.639 (7),13.872 (1),
925978,DeepakSridhar,21.134 (2),19.828 (2),18.676 (2),17.168 (2),15.289 (3),13.499 (3),11.544 (3),9.499 (2),7.163 (1),3.920 (1),13.772 (2),
951182,xfyang,20.798 (3),19.295 (3),17.964 (3),16.513 (3),15.320 (2),13.733 (2),11.911 (1),9.670 (1),6.928 (2),3.505 (3),13.564 (3),
964332,hik_video_group,15.050 (4),14.077 (4),13.197 (4),12.108 (4),11.079 (4),9.669 (4),8.535 (4),7.265 (4),5.518 (4),3.515 (2),10.001 (4),
962166,HUSTCVsquad,14.872 (5),13.694 (5),12.679 (5),11.384 (6),10.307 (6),9.120 (6),7.916 (5),6.360 (6),5.008 (5),3.124 (5),9.446 (5),
962494,gjtjx,14.051 (7),13.200 (6),12.445 (6),11.385 (5),10.500 (5),9.277 (5),7.878 (6),6.606 (5),4.865 (6),3.314 (4),9.352 (6),
964635,zhaoyangnjust,13.316 (8),12.393 (8),11.638 (7),10.686 (7),9.790 (7),8.817 (7),7.543 (7),6.265 (7),4.827 (7),2.794 (6),8.807 (7),
928939,SweetPotato,14.740 (6),13.128 (7),11.322 (8),9.519 (8),7.438 (9),5.491 (10),3.754 (11),2.094 (13),0.845 (13),0.193 (14),6.852 (8),
957535,yy0577,9.687 (11),9.183 (10),8.576 (10),7.795 (10),7.269 (10),6.548 (8),5.799 (8),4.937 (8),4.051 (8),2.519 (8),6.636 (9),
935408,LuckFace,11.668 (9),10.623 (9),9.500 (9),8.482 (9),7.519 (8),6.388 (9),5.123 (9),3.667 (10),2.506 (10),0.764 (11),6.624 (10),
961154,zhangkai97,10.248 (10),8.943 (11),7.737 (11),6.608 (11),5.600 (11),4.527 (12),3.397 (13),2.353 (12),1.351 (12),0.602 (12),5.137 (11),
937018,hren,7.327 (12),6.667 (12),6.234 (12),5.532 (12),5.074 (12),4.673 (11),4.133 (10),3.717 (9),3.042 (9),1.769 (9),4.817 (12),
1100778,lizhi1104,7.124 (13),6.580 (13),6.054 (13),5.321 (13),4.797 (13),4.151 (13),3.706 (12),3.269 (11),2.436 (11),1.425 (10),4.486 (13),
960931,ntpham,4.202 (14),3.630 (14),2.893 (14),2.476 (14),2.024 (14),1.606 (14),1.265 (14),0.945 (14),0.580 (14),0.224 (13),1.984 (14),
964384,dcj,0.441 (15),0.348 (15),0.305 (15),0.209 (15),0.158 (15),0.134 (15),0.088 (15),0.054 (16),0.031 (16),0.017 (16),0.178 (15),
964224,liupei9,0.101 (16),0.092 (16),0.087 (16),0.078 (16),0.068 (16),0.067 (16),0.062 (16),0.055 (15),0.044 (15),0.034 (15),0.069 (16),
964248,LUT,0.000 (17),0.000 (17),0.000 (17),0.000 (17),0.000 (17),0.000 (17),0.000 (17),0.000 (17),0.000 (17),0.000 (17),0.000 (17),
