submission_pk,User,score,Computation time
642339,zenghsh3,56.06 (1),1092.33 (41),
642281,yzm_test,41.23 (2),1116.81 (42),
640589,SEU_PSA,35.11 (3),9.65 (13),
640996,tswsxk,28.26 (4),89.27 (24),
638352,djmax008,26.32 (5),459.86 (38),
640403,xinzhixu,25.01 (6),1377.10 (43),
642222,HJX,24.32 (7),11.60 (14),
642152,anonymity,24.32 (8),0.26 (10),
642250,UESTC,24.20 (9),242.82 (34),
642149,Echo-Huang,24.20 (9),260.93 (35),
640508,mod-jid2020,21.41 (10),457.28 (37),
642247,wuangwang,19.63 (11),75.48 (21),
631811,charliedhw_s,15.89 (12),110.87 (28),
628585,sazhao,7.42 (13),199.74 (33),
641654,daisy123,0.08 (14),129.10 (31),
642420,wuang,0.00 (15),20.50 (15),
642411,UNCC,0.00 (15),0.18 (6),
642100,BDonnot,0.00 (15),0.17 (4),
642031,Kwazii,0.00 (15),29.98 (16),
640668,tagore,0.00 (15),0.17 (3),
638464,joeljosephjin,0.00 (15),0.18 (8),
637858,xuzhiqi,0.00 (15),0.17 (5),
637496,rgultom,0.00 (15),0.17 (2),
631768,tonyjoins,0.00 (15),88.39 (23),
627464,student,0.00 (15),0.18 (9),
624752,zhuozy17,0.00 (15),0.18 (7),
642402,ENLITEN,-0.14 (16),51.52 (19),
642372,JZGroupAI,-0.59 (17),644.91 (39),
641203,gaome,-2.28 (18),112.54 (30),
642366,TonyS,-6.50 (19),3.03 (11),
641253,sgcc_gyc,-6.86 (20),108.53 (27),
639372,Edison,-9.33 (21),111.30 (29),
640804,zz2718,-11.46 (22),859.84 (40),
641796,kang,-20.54 (23),77.23 (22),
642300,wjtang,-25.78 (24),54.59 (20),
641560,pysong,-31.15 (25),104.10 (26),
641313,lujasone,-35.91 (26),39.22 (18),
642412,chr6192,-38.40 (27),101.13 (25),
642303,ritou11,-42.63 (28),314.87 (36),
640841,AlteredFrank,-51.74 (29),176.07 (32),
633451,kd_fzjc,-59.04 (30),31.50 (17),
642154,ShadowGrid,-65.97 (31),4.84 (12),
639484,TBSIer,-100.00 (32),0.00 (1),
631426,chentianyu,-100.00 (32),0.00 (1),
