submission_pk,User,<Rank>,MSE,PSNR,DSSIM
471397,SanghyunWoo,2.6667 (1),0.0011 (1),33.3527 (1),0.0404 (6),
470931,ucs,3.3333 (3),0.0011 (2),33.0052 (3),0.0410 (5),
471383,hcilab,3.0000 (2),0.0012 (3),33.0228 (2),0.0424 (4),
471456,anubhap93,3.6667 (4),0.0012 (4),32.0021 (5),0.0499 (2),
471471,arnavkj95,4.0000 (5),0.0012 (5),32.1713 (4),0.0482 (3),
470874,Stephane,4.3333 (6),0.0022 (6),30.1856 (6),0.0613 (1),
