submission_pk,User,Balanced accuracy
743126,acrulopez,0.79 (1),
741691,mykola_liashuha,0.79 (2),
741849,RomainJ,0.77 (3),
1120662,djlittle,0.77 (4),
746075,mdsalem17,0.77 (5),
746070,xavibou,0.77 (6),
741654,llamalle,0.77 (7),
746739,MHAMDI_Sami,0.76 (8),
747205,camkzl,0.76 (9),
783626,Takfa,0.76 (10),
747025,eric_saga,0.76 (11),
745835,ihsanullah2131,0.74 (12),
779450,LeiTi,0.74 (13),
746685,JonathanC,0.73 (14),
770670,CISSE_OUSMANE,0.72 (15),
740125,theboxtroll5,0.72 (16),
740504,phanav,0.69 (17),
744116,pavao,0.67 (18),
740719,Test123456,0.60 (19),
742312,gaga,0.58 (20),
747644,Ousmane,0.58 (21),
893426,ramirosso,0.53 (22),
887383,ArianeKayvantash,0.52 (23),
966871,zmzia,0.52 (24),
747243,Boyu_Zhu,0.52 (25),
740514,guilhermessc,0.51 (26),
865120,moha3lans,0.51 (27),
747220,HongyiYUE,0.50 (28),
893445,berk,0.50 (29),
745751,Paavo,0.50 (30),
1109187,tzspeng,0.50 (31),
895477,VanM1x,0.50 (31),
895494,arseneS,-1.00 (32),
746916,paulosh,-1.00 (32),
