submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,58.27 (1),82.90 (2),224083.00 (1),100868.00 (2),16047.00 (2),15739.00 (1),6506.00 (1),9886.00 (1),
620717,zhaoxingjie,0.13 (2),86.26 (1),815925.00 (2),215.00 (1),39.00 (1),19.00 (2),32100.00 (2),12.00 (2),
620725,suntinger,0.13 (2),86.26 (1),815925.00 (2),215.00 (1),39.00 (1),19.00 (2),32100.00 (2),12.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,39.35 (1),76.26 (1),46537.00 (1),16914.00 (2),4310.00 (2),1696.00 (1),1716.00 (1),2462.00 (1),
620717,zhaoxingjie,-0.10 (2),55.11 (2),111697.00 (2),130.00 (1),2.00 (1),0.00 (2),5873.00 (2),1.00 (2),
620725,suntinger,-0.10 (2),55.11 (2),111697.00 (2),130.00 (1),2.00 (1),0.00 (2),5873.00 (2),1.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,66.47 (1),83.61 (2),153658.00 (1),66387.00 (2),12510.00 (2),14373.00 (1),3845.00 (1),7314.00 (1),
620717,zhaoxingjie,0.18 (2),86.71 (1),692289.00 (2),42.00 (1),39.00 (1),21.00 (2),25501.00 (2),10.00 (2),
620725,suntinger,0.18 (2),86.71 (1),692289.00 (2),42.00 (1),39.00 (1),21.00 (2),25501.00 (2),10.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,20.32 (1),74.12 (1),7852.00 (1),1531.00 (2),96.00 (2),80.00 (1),385.00 (1),224.00 (1),
620717,zhaoxingjie,0.00 (2),NaN (2),11896.00 (2),0.00 (1),0.00 (1),0.00 (2),689.00 (2),0.00 (2),
620725,suntinger,0.00 (2),NaN (2),11896.00 (2),0.00 (1),0.00 (1),0.00 (2),689.00 (2),0.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,38.08 (1),76.43 (1),43443.00 (1),17500.00 (2),4119.00 (2),1644.00 (1),1624.00 (1),2345.00 (1),
620717,zhaoxingjie,-0.11 (2),55.11 (2),105055.00 (2),130.00 (1),2.00 (1),0.00 (2),5612.00 (2),1.00 (2),
620725,suntinger,-0.11 (2),55.11 (2),105055.00 (2),130.00 (1),2.00 (1),0.00 (2),5612.00 (2),1.00 (2),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
605604,bdd100k,30.10 (1),75.12 (1),4132.00 (1),452.00 (2),59.00 (2),18.00 (1),144.00 (1),104.00 (1),
620717,zhaoxingjie,0.00 (2),NaN (2),6642.00 (2),0.00 (1),0.00 (1),0.00 (2),266.00 (2),0.00 (2),
620725,suntinger,0.00 (2),NaN (2),6642.00 (2),0.00 (1),0.00 (1),0.00 (2),266.00 (2),0.00 (2),
