submission_pk,User,MAP,Task_1_MAP,Task_2_MAP,Task_3_MAP,Task_4_MAP,AP_pedestrian,AP_cyclist,AP_car,AP_truck,AP_tram,AP_tricycle
989165,manoja328,62.27 (1),59.34 (1),47.02 (2),69.07 (1),73.64 (1),41.84 (1),65.25 (2),80.40 (1),67.81 (1),70.34 (1),37.88 (1),
988935,xialei,59.56 (2),53.85 (2),48.70 (1),68.87 (2),66.82 (2),41.34 (2),68.44 (1),77.24 (2),65.33 (2),65.67 (3),19.88 (2),
956706,dmitrykonovalov,55.53 (3),53.47 (3),43.40 (3),63.79 (3),61.46 (3),38.36 (3),61.90 (3),75.07 (3),62.38 (3),66.44 (2),4.46 (3),
948563,sslad2021,55.53 (3),53.47 (3),43.40 (3),63.79 (3),61.46 (3),38.36 (3),61.90 (3),75.07 (3),62.38 (3),66.44 (2),4.46 (3),
973788,nuller,45.35 (4),43.06 (4),36.01 (5),51.54 (4),50.81 (6),29.49 (5),53.73 (5),68.63 (4),49.48 (4),48.91 (5),0.00 (5),
957917,piaomai,45.10 (5),42.17 (5),38.34 (4),48.12 (6),51.78 (5),32.66 (4),59.52 (4),67.25 (5),43.67 (6),45.89 (6),0.00 (5),
990760,xdcvxiaodui,43.47 (6),37.27 (6),35.39 (6),49.31 (5),51.93 (4),23.18 (6),51.93 (6),62.14 (6),48.08 (5),53.10 (4),2.48 (4),
