submission_pk,User,F1,Precision,Recall
737982,wyclover,0.886 (1),0.889 (4),0.883 (1),
751240,Jinang,0.877 (2),0.948 (1),0.816 (5),
681826,xinsu,0.870 (3),0.915 (3),0.829 (3),
755061,priyanshu,0.863 (4),0.917 (2),0.814 (6),
767034,HamzaJawad98,0.853 (5),0.878 (5),0.830 (2),
767712,Egoitz,0.834 (6),0.851 (6),0.818 (4),
774815,yoon1995,- (7),- (7),- (7),
774580,wwk,- (7),- (7),- (7),
742105,kmkurn,- (7),- (7),- (7),
submission_pk,User,F1,Precision,Recall
755061,priyanshu,0.837 (1),0.793 (3),0.887 (1),
774580,wwk,0.786 (2),0.802 (2),0.771 (3),
742105,kmkurn,0.784 (3),0.806 (1),0.762 (5),
774815,yoon1995,0.778 (4),0.776 (4),0.780 (2),
767712,Egoitz,0.771 (5),0.775 (5),0.768 (4),
767034,HamzaJawad98,- (6),- (6),- (6),
751240,Jinang,- (6),- (6),- (6),
737982,wyclover,- (6),- (6),- (6),
681826,xinsu,- (6),- (6),- (6),
