submission_pk,User,MRAE,RMSE
578872,Deep-imagelab,0.07 (1),- (-),
579160,zyz987,0.07 (2),- (-),
578762,sunnyvick,0.07 (3),- (-),
579238,ppplang,0.07 (4),- (-),
570584,honeygupta,0.07 (5),- (-),
546468,PARASITE,0.08 (6),- (-),
587572,akashpalrecha,0.08 (7),- (-),
546030,ZHU_zy,0.14 (8),- (-),
546742,ninaqian,0.14 (9),- (-),
566449,Achiever11,0.16 (10),- (-),
614382,tomanut,0.23 (11),- (-),
542312,Sid,0.29 (12),- (-),
557781,tensorcat,0.41 (13),- (-),
578997,Hpeng,2.26 (14),- (-),
