submission_pk,User,score,mIoU,mAcc
911593,earhian,0.84 (1),0.86 (1),0.91 (1),
906365,HaichaoShi,0.83 (2),0.85 (2),0.90 (3),
910429,soeaver,0.83 (3),0.75 (7),0.89 (4),
910175,raman_focus,0.81 (4),0.83 (3),0.90 (2),
910985,DeepBlueAI,0.80 (5),0.82 (4),0.89 (5),
903474,fanzonghao,0.79 (6),0.81 (5),0.88 (6),
901924,TheRealG,0.77 (7),0.79 (6),0.87 (7),
910829,yangdonghan50,0.76 (8),0.68 (10),0.86 (8),
897378,tfzhou.ai,0.72 (9),0.65 (11),0.78 (12),
910535,install83,0.71 (10),0.74 (8),0.81 (10),
912208,jesse1029,0.70 (11),0.73 (9),0.83 (9),
954182,ttr,0.70 (12),0.63 (12),0.76 (13),
954176,JarviSchrodinger,0.69 (13),0.62 (13),0.76 (14),
899610,sgzqc,0.65 (14),0.59 (14),0.73 (15),
894796,lxixi0815,0.65 (15),0.58 (15),0.73 (16),
908029,alright1117,0.64 (16),0.57 (16),0.72 (17),
895410,hpysr_s,0.60 (17),0.54 (17),0.79 (11),
888379,omnicv_2021_challenge,0.56 (18),0.50 (18),0.67 (19),
906552,stephancheng,0.54 (19),0.48 (19),0.68 (18),
903290,Y_C,0.48 (20),0.44 (20),0.59 (20),
875024,sabarinathan,0.45 (21),0.40 (21),0.54 (23),
912240,RobertWood,0.44 (22),0.39 (22),0.58 (21),
896658,Wprofessor,0.44 (23),0.39 (23),0.57 (22),
903859,Ratherman,0.38 (24),0.35 (24),0.50 (24),
911565,Q36083030,0.28 (25),0.25 (25),0.37 (25),
910541,jay.chiehen,0.04 (26),0.03 (26),0.14 (26),
