submission_pk,User,Loss
980250,Ajoo,0.866 (1),
979820,TeamQ,13.664 (2),
980627,KunWu,24.762 (3),
979168,jmunozb,29.479 (4),
980223,huangsiy,48.778 (5),
976518,bkleiner,49.553 (6),
977299,eslopezag,57.480 (7),
971588,___starter-kit-baseline___,67.164 (8),
979652,xuzhiyuan1528,67.176 (9),
980632,shaurya23,76.252 (10),
975075,alse426,97.144 (11),
971590,___zero-baseline___,100.000 (12),
