submission_pk,User,AverageF1,AverageR,Accuracy
387644,mcliche,0.89000 (1),0.88200 (1),0.89700 (1),
387670,cbaziotis,0.86100 (2),0.85600 (2),0.86900 (2),
387649,sasa,0.85600 (3),0.85400 (3),0.86300 (3),
387648,muellsi3,0.84700 (4),0.84600 (4),0.85400 (4),
387680,dorsar,0.83600 (5),0.84500 (5),0.84000 (6),
387653,WarwickDCS,0.83400 (6),0.82900 (7),0.84300 (5),
387677,zhangweida2080,0.83000 (7),0.82600 (9),0.83800 (7),
387676,quanzhi,0.82400 (8),0.83400 (6),0.82700 (8),
387646,gupta-rk,0.82200 (9),0.82700 (8),0.82700 (8),
387645,Epix,0.81600 (10),0.83400 (6),0.81800 (9),
387656,sjzafra,0.80600 (11),0.81800 (11),0.80900 (10),
387651,danielfl,0.80100 (12),0.82200 (10),0.80200 (11),
387678,karpnv,0.78700 (13),0.79800 (12),0.79000 (12),
387657,wwmmqq,0.77500 (14),0.79000 (13),0.77700 (14),
387674,bakrianoo,0.77400 (15),0.76900 (15),0.78900 (13),
387647,lhurtado,0.77300 (16),0.76600 (16),0.79000 (12),
387654,ramybaly,0.76200 (17),0.77900 (14),0.76400 (15),
387650,symeonidis,0.60000 (18),0.66300 (17),0.60700 (16),
387658,wangmin,0.49900 (19),0.51600 (20),0.49900 (18),
387643,AngelDeborahSuseelan,0.49400 (20),0.58600 (19),0.51800 (17),
387679,Enkhzol,0.48600 (21),0.59400 (18),0.51800 (17),
387672,minok00,0.42800 (22),0.49900 (22),0.44400 (19),
387669,sureshsanampudi,0.37200 (23),0.48300 (23),0.41200 (20),
387637,seirasto,0.28500 (24),0.50000 (21),0.39800 (21),
