submission_pk,User,F1
858644,ClaudiaPorto,0.8498 (1),
859941,GuanZhengyi,0.8497 (2),
832238,vitiugin,0.8198 (3),
858709,spalenza,0.7973 (4),
859830,Maoqin,0.7865 (5),
849549,gamallo,0.7655 (6),
847210,luiso91,0.7576 (7),
846574,jorge.reyes,0.7402 (8),
854233,antonioneme,0.4251 (9),
856677,hahalk,- (10),
