submission_pk,User,MAP,Task_1_MAP,Task_2_MAP,Task_3_MAP,Task_4_MAP,AP_pedestrian,AP_cyclist,AP_car,AP_truck,AP_tram,AP_tricycle
988533,pdpdpd2021,70.78 (1),77.24 (1),68.12 (1),68.52 (1),69.24 (1),73.79 (1),78.20 (1),88.37 (1),77.78 (1),71.50 (1),35.04 (1),
990530,manoja328,55.67 (2),61.74 (2),55.30 (2),53.73 (2),51.94 (2),62.98 (2),66.14 (2),79.93 (2),62.78 (2),50.70 (2),11.51 (3),
989429,xialei,53.10 (3),60.08 (3),50.80 (3),52.20 (3),49.34 (3),57.51 (3),61.01 (3),76.75 (3),60.62 (3),49.02 (3),13.72 (2),
