submission_pk,User,MAP,MRR
561727,Yuriy,0.5522 (1),0.5940 (1),
564822,xeno,0.5054 (2),0.5433 (2),
563653,akutuzov,0.4976 (3),0.5332 (3),
561474,RefalMachine,0.4930 (4),0.5314 (4),
565174,alvadia,0.4497 (5),0.4835 (5),
561145,Parkat13,0.4447 (6),0.4817 (6),
564780,maxfed,0.4346 (7),0.4661 (7),
564774,joystick,0.4331 (8),0.4646 (8),
567166,lilaspourpre,0.4210 (9),0.4518 (9),
565177,cointegrated,0.4178 (10),0.4503 (10),
541909,adhaesitadimo,0.3759 (11),0.4043 (11),
564556,vvyadrincev,0.3095 (12),0.3342 (12),
565008,vimary,0.2951 (13),0.3187 (13),
564628,iamdenay,0.1972 (14),0.2196 (14),
548240,tvbat,0.0838 (15),0.0923 (15),
565222,vdasivan,0.0044 (16),0.0045 (16),
563869,Arshehremen,0.0000 (17),0.0000 (17),
