submission_pk,User,EM,Bleu-2,chrTER,chr3-F
599467,gozdesahin,100.0000 (1),91.2100 (1),100.0000 (1),99.2000 (1),
642769,Deokjun_Eom,3.0200 (2),16.3500 (3),36.0200 (3),42.8700 (3),
684061,Philippm,2.5600 (3),19.7700 (2),37.6500 (2),44.4600 (2),
643630,j.han,1.0600 (4),14.6100 (4),33.9700 (4),39.7200 (4),
682539,yongjing,0.7500 (5),11.1700 (5),22.7300 (5),29.6000 (5),
644141,sehyun,0.0000 (6),4.7600 (6),8.8100 (6),11.4000 (6),
submission_pk,User,EM,Bleu-2,chrTER,chr3-F
599467,gozdesahin,100.0000 (1),88.0200 (1),100.0000 (1),98.9900 (1),
642769,Deokjun_Eom,4.4400 (2),12.5000 (3),35.8300 (2),41.9300 (2),
684061,Philippm,1.4000 (3),12.6400 (2),35.3500 (3),41.2100 (3),
643630,j.han,1.1700 (4),10.5700 (4),33.5300 (4),38.8100 (4),
682539,yongjing,0.4700 (5),4.2400 (5),15.6300 (5),22.3800 (5),
644141,sehyun,0.0000 (6),0.0000 (6),0.0000 (6),0.0000 (6),
submission_pk,User,EM,Bleu-2,chrTER,chr3-F
599467,gozdesahin,100.0000 (1),97.0100 (1),100.0000 (1),99.5700 (1),
684061,Philippm,4.6800 (2),32.7600 (2),41.8400 (2),50.3800 (2),
682539,yongjing,1.2800 (3),23.7900 (3),35.6600 (4),42.7600 (4),
643630,j.han,0.8500 (4),21.9700 (5),34.7600 (5),41.3700 (5),
642769,Deokjun_Eom,0.4300 (5),23.3500 (4),36.3500 (3),44.6000 (3),
644141,sehyun,0.0000 (6),13.4200 (6),24.8700 (6),32.1700 (6),
