submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
936669,HW-TSC,1.80 (1),0.8690 (1),0.1256 (1),0.0747 (1),2243954093.0 (3),560944640.0 (3),
940601,IST-Unbabel,2.80 (3),0.7096 (2),0.1775 (2),0.1355 (2),2294887576.0 (4),569368609.0 (4),
940561,fblain,2.20 (2),0.6068 (3),0.2042 (3),0.1592 (3),1142441796.0 (1),281297685.0 (1),
936010,shch,3.20 (4),0.5224 (4),0.2064 (4),0.1616 (4),1363652116.0 (2),502000000.0 (2),
