submission_pk,User,ROC-AUC
1132087,DF2022,0.6670 (1),
896064,linzhentao,0.6654 (2),
875115,kingshashank12,0.6300 (3),
889714,shwetkm,0.6162 (4),
889702,skm12,0.5033 (5),
