submission_pk,User,min t-DCF,EER
973172,Anonymous,0.7061 (1),25.55 (1),
934946,Anonymous,0.7566 (2),29.16 (3),
949944,Anonymous,0.7648 (3),28.48 (2),
934530,Anonymous,0.7695 (4),31.25 (5),
958969,Anonymous,0.8051 (5),31.21 (4),
941809,Anonymous,0.8221 (6),32.71 (6),
937808,Anonymous,0.8326 (7),33.19 (7),
934563,Anonymous,0.8733 (8),34.91 (9),
934787,Anonymous,0.8830 (9),35.91 (10),
934634,Anonymous,0.9119 (10),33.94 (8),
973949,Anonymous,0.9913 (11),52.98 (15),
940727,Anonymous,0.9999 (12),50.19 (14),
934745,Anonymous,0.9999 (12),47.73 (12),
959194,Anonymous,1.0000 (13),44.83 (11),
939923,Anonymous,1.0000 (13),50.13 (13),
