submission_pk,User,score,Computation time
726520,rl_agnet,59.26 (1),483.22 (41),
725751,binbinchen,46.89 (2),437.85 (40),
723872,lujixiang,44.62 (3),778.02 (44),
726525,djmax008,43.16 (4),1007.71 (46),
726993,tIEEmCES,41.38 (5),86.69 (19),
726524,jianda,39.68 (6),508.41 (42),
726995,UN_aiGridOperator,34.72 (7),1192.79 (49),
728677,jnznn96,34.47 (8),164.75 (25),
726301,yzm_test,33.50 (9),609.55 (43),
706870,_Konstantin_,30.38 (10),13.75 (8),
727043,panda0246,27.36 (11),95.78 (20),
726526,taka,26.73 (12),396.81 (39),
726989,PowerRangers,25.92 (13),333.77 (32),
717432,student,25.92 (13),337.86 (35),
714987,annetalllll,25.92 (13),345.08 (37),
714994,AVF1311,25.92 (13),334.29 (33),
714990,Nastasya,25.92 (13),337.97 (36),
714988,gganastasiya,25.92 (13),334.40 (34),
714991,juliamekys,25.92 (13),324.08 (31),
726994,yang19,23.64 (14),1113.01 (47),
715003,alaka,23.15 (15),117.66 (22),
710958,Rccccc.,16.48 (16),172.51 (26),
706864,tagore,16.33 (17),1380.70 (50),
723776,ZSW,14.06 (18),9.63 (7),
696847,liujianlin,14.06 (19),7.36 (5),
693056,blesszzy,14.06 (19),7.37 (6),
717434,ansubty,13.60 (20),47.40 (16),
725750,prasang,10.84 (21),99.55 (21),
686040,xinzhixu,10.76 (22),294.13 (29),
675298,amarot,9.38 (23),1.38 (3),
707980,mroderick,9.20 (24),38.55 (14),
714993,Desmond,7.97 (25),15.85 (9),
706865,Anonymous01,4.41 (26),200.01 (28),
714996,hch,0.00 (27),0.82 (1),
709400,ruyueshuo,0.00 (27),26.34 (11),
726998,DragonGlass,-1.45 (28),1130.85 (48),
722893,jajimer,-1.85 (29),145.67 (24),
726996,fdai,-2.01 (30),380.45 (38),
723777,qiu_o,-6.00 (31),127.38 (23),
679220,vmetenev,-15.31 (32),67.38 (18),
719429,radioactive,-18.27 (33),792.47 (45),
678948,EfimovIN,-40.37 (34),319.40 (30),
726991,THOMSON,-50.28 (35),183.40 (27),
678975,xukeai,-59.27 (36),34.13 (13),
717431,mwasserer,-60.75 (37),57.76 (17),
686400,LifeX,-64.58 (38),46.20 (15),
686023,BDonnot,-64.58 (38),26.90 (12),
692695,lewington,-77.89 (39),20.00 (10),
705135,mugoh,-89.17 (40),1.14 (2),
710966,HBYoung,-95.67 (41),2.99 (4),
