submission_pk,User,SCORE,MSVD,DiDeMo,ActivityNet,MSRVTT,YouCook2
628549,MMT,2511.43 (1),70.24 (2),46.30 (1),51.57 (2),70.15 (1),27.12 (1),
628361,cszhe,2448.56 (2),75.33 (1),45.88 (2),51.76 (1),66.32 (2),13.76 (3),
627355,acdart,1994.89 (3),58.12 (4),33.34 (4),40.79 (3),50.99 (3),24.39 (2),
626598,LEgGOdt,1895.01 (4),59.58 (3),33.89 (3),38.29 (4),49.77 (4),9.60 (6),
625818,haoxiaoshuai,1496.98 (5),41.95 (6),31.16 (5),34.28 (5),24.55 (6),10.00 (4),
627317,zzu,1459.72 (6),42.40 (5),25.47 (7),23.30 (7),35.58 (5),9.88 (5),
620022,vgg,1250.00 (7),28.95 (7),26.06 (6),29.06 (6),14.91 (7),7.54 (7),
615181,bland,1249.46 (8),28.88 (8),26.06 (6),29.06 (6),14.90 (8),7.54 (7),
