submission_pk,User,Accuracy,F-score,MRR,MAP
460504,romang,0.3333 (1),0.8515 (1),0.4455 (1),0.3333 (1),
460403,saeednajafi,0.3243 (2),0.8472 (3),0.4287 (2),0.3243 (2),
1078110,nerdimite2,0.3233 (3),0.8483 (2),0.3233 (3),0.3233 (3),
460606,soumyadeep,0.2993 (4),0.8401 (4),0.2993 (4),0.2993 (4),
1071881,yashraj2000,0.2753 (5),0.8346 (5),0.2753 (5),0.2753 (5),
