submission_pk,User,ROC AUC
709838,gsitechnology,0.9108 (1),
712136,inanikas,0.9085 (2),
712027,rogueneuron,0.9029 (3),
709598,the_oak,0.8826 (4),
711624,kfir.gedalyahu,0.8767 (5),
711626,Matuzas,0.8761 (6),
712020,alexgoft,0.8739 (7),
710594,ngcferreira,0.8694 (8),
711614,Galeros93,0.8685 (9),
709644,michaild,0.8517 (10),
709468,HelloWorld,0.8508 (11),
711625,zahilaty,0.8445 (12),
709637,hassonofer,0.8427 (13),
711647,meirha,0.8305 (14),
712135,yampeleg,0.8299 (15),
711652,usuitakumi,0.8181 (16),
711307,nicolaslynn,0.8180 (17),
711629,shankarkumarj,0.8175 (18),
712119,David_Cohen,0.8136 (19),
711619,losinho,0.8134 (20),
711731,YDADON317,0.8119 (21),
712072,yurisman,0.8096 (22),
711639,nofteam,0.8020 (23),
712131,shaulsolomon,0.7935 (24),
712110,Mengdi,0.7923 (25),
711473,moyrml,0.7922 (26),
711641,oferg90,0.7917 (27),
711675,omerro,0.7914 (28),
711335,koren,0.7834 (29),
710894,Amix,0.7830 (30),
712109,Devkruth_V,0.7792 (31),
711739,roufa,0.7756 (32),
708707,alexsamochin,0.7732 (33),
712064,Michael_Nitzan,0.7691 (34),
711052,IdoTam,0.7678 (35),
711634,nevoit,0.7629 (36),
711815,Pagey,0.7624 (37),
711579,shimon.58,0.7594 (38),
712115,nirp0109,0.7486 (39),
711836,benai,0.7281 (40),
709018,SteveJB,0.7238 (41),
712041,ozzy,0.7023 (42),
712152,hengr,0.6669 (43),
712150,boogie,0.5691 (44),
712097,Amitmu,0.5208 (45),
712142,eitam,0.5191 (46),
712132,artzi1,0.5058 (47),
