submission_pk,User,< Rank >,MCC,F1 ERR,F1 NOT,F1 Mult,Disk Footprint (Bytes),Model Params
941092,Raphael_NICT,2.33 (2),0.5105 (1),0.9132 (1),0.5949 (1),- (5),2239774281.0 (4),559892482.0 (2),
940624,gjiang,2.17 (1),0.4731 (2),0.9105 (3),0.5552 (2),0.5055 (1),2239765357.0 (3),559892482.0 (2),
939465,joanne.wjy,4.17 (5),0.4539 (3),0.9092 (4),0.5337 (4),0.4853 (3),2244034844.0 (6),560982532.0 (5),
937649,HW-TSC,3.17 (3),0.4482 (4),0.9055 (5),0.5369 (3),0.4861 (2),2234153425.0 (2),560365209.0 (3),
952574,kw,4.50 (6),0.4129 (5),0.9118 (2),0.4493 (6),- (5),2244030744.0 (5),560981507.0 (4),
940591,fblain,3.83 (4),0.3875 (6),0.8992 (6),0.4768 (5),0.4287 (4),1114634523.0 (1),278635778.0 (1),
