submission_pk,User,Log of MAE score
1000228,Supitcha.Suks,1.1561520720 (1),
999627,UncleTed,1.1576488588 (2),
999804,Tagon,1.1744132223 (3),
1000043,Jackdebuff,1.1757334289 (4),
999738,Thanapat,1.1805373154 (5),
1000158,Chayanon,1.1811453164 (6),
998006,cue,1.1848029286 (7),
1000068,TMLCC1037-teerachote,1.1857976656 (8),
999312,tom88jerry,1.1973797183 (9),
999038,SuradechK,1.1973797183 (9),
999094,batprem,1.1974561615 (10),
1000214,winezazaza,1.2011062399 (11),
999123,ariya23156,1.2025689965 (12),
987756,phatham,1.2033092394 (13),
995384,Sinattha,1.2064149603 (14),
996130,thiranai,1.2102963449 (15),
1000286,JiraPit,1.2146875944 (16),
1000195,kangkengkhadev,1.2146875944 (16),
1000251,punny_eiei,1.2176127929 (17),
1000239,Monthisaw,1.2188144299 (18),
1000237,my99n,1.2188210720 (19),
999980,jjim,1.2189184040 (20),
1000206,Janewit,1.2190473576 (21),
999408,Napatnicky,1.2196798394 (22),
999922,jennyjirat,1.2213124572 (23),
992840,barnrang,1.2213444933 (24),
1000217,t0p_,1.2221252975 (25),
999992,NinoSupremacy,1.2224285636 (26),
999811,Preawtienj,1.2240538888 (27),
989715,lappawat,1.2243930924 (28),
1000220,Natthaphon.Tac,1.2247323631 (29),
992851,Doramin,1.2252167522 (30),
993878,romrawin,1.2260445157 (31),
999715,TMLCC0628-nisitpuk,1.2263261084 (32),
995193,TMLCC0118-bphysics,1.2267357347 (33),
994850,hairchickenfit,1.2270149989 (34),
999813,nattaporn.koc,1.2288049434 (35),
997676,AlphaOhm,1.2291223207 (36),
989796,Chanati.Jan,1.2292372148 (37),
988464,jDO_,1.2293068958 (38),
990919,vikimark,1.2296616668 (39),
999707,Keith12345671,1.2299829048 (40),
998531,Yoskorn.L,1.2304544102 (41),
999024,pachara_Mee,1.2309819395 (42),
995474,weeriya,1.2314664388 (43),
999837,sivakorn,1.2325218508 (44),
988962,PiensukW,1.2325266704 (45),
990642,TMLCC0770,1.2331567430 (46),
999996,Acriminal,1.2334977185 (47),
988333,atistarn,1.2342841724 (48),
999731,Namjai,1.2353258734 (49),
999926,newanagata,1.2361842221 (50),
997568,TMLCC1034-team,1.2372690857 (51),
1000290,apisith.won,1.2382792370 (52),
998471,Pakcheera,1.2390584760 (53),
993566,kookkikkp,1.2413911135 (54),
998451,kwankoravich,1.2415504215 (55),
