submission_pk,User,Total,Test 1,Test 2,Test 3
518627,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
517238,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
517198,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
517151,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
517061,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
517059,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516993,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516977,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516974,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516970,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
516932,Anonymous,100.00 (1),100.00 (1),100.00 (1),100.00 (1),
