submission_pk,User,english,spanish
431800,guolinsen,64.457 (1),0.000 (5),
430790,mattshardlow,63.185 (2),81.381 (2),
429641,reinardvandalen,61.224 (3),0.000 (5),
432162,Serenade_EXE,60.802 (4),0.000 (5),
429634,Fire,59.882 (5),0.000 (5),
431718,simondewit,58.572 (6),80.390 (3),
426834,jdhurwitz,58.212 (7),0.000 (5),
429408,wangsh,57.048 (8),80.013 (4),
420551,Deffro,47.783 (9),0.000 (5),
424071,gguibon,45.798 (10),0.000 (5),
432015,sherlock_1412,28.962 (11),0.000 (5),
425494,guolinsen,27.325 (12),0.000 (5),
424886,m.yaghubzade,24.817 (13),0.000 (5),
432495,AmyJing,24.745 (14),0.000 (5),
420574,naman,23.018 (15),0.000 (5),
431756,amru,21.521 (16),0.000 (5),
423917,sanjay.kumar,15.538 (17),0.000 (5),
421741,jogonba2,0.000 (18),84.286 (1),
