submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
578804,Anonymous,36.38 (52),0.95 (56),0.67 (11),0.00 (2),1.00 (1),
579239,Anonymous,31.43 (74),0.93 (73),0.00 (23),0.00 (2),0.00 (2),
579229,Anonymous,36.52 (48),0.95 (50),0.00 (23),0.00 (2),0.00 (2),
579217,Anonymous,36.63 (38),0.95 (31),0.00 (23),0.00 (2),0.00 (2),
579202,Anonymous,36.47 (51),0.95 (41),0.00 (23),0.00 (2),0.00 (2),
579198,Anonymous,36.30 (56),0.94 (62),0.00 (23),0.00 (2),0.00 (2),
579141,Anonymous,36.53 (47),0.95 (39),0.07 (19),0.00 (2),0.00 (2),
579127,Anonymous,37.21 (6),0.96 (1),0.07 (19),0.00 (2),0.00 (2),
579100,Anonymous,36.93 (23),0.95 (38),0.07 (19),0.00 (2),0.00 (2),
579098,Anonymous,36.13 (60),0.94 (65),0.07 (19),0.00 (2),0.00 (2),
579033,Anonymous,34.88 (72),0.95 (54),0.00 (23),0.00 (2),0.00 (2),
579031,Anonymous,36.94 (22),0.95 (20),0.00 (23),0.00 (2),0.00 (2),
579012,Anonymous,37.30 (3),0.95 (11),0.00 (23),0.00 (2),0.00 (2),
578956,Anonymous,36.76 (34),0.95 (23),0.00 (23),0.00 (2),0.00 (2),
578947,Anonymous,12.84 (77),0.50 (77),0.00 (23),0.00 (2),0.00 (2),
578862,Anonymous,36.80 (30),0.95 (32),6.29 (2),0.00 (2),0.00 (2),
578831,Anonymous,36.99 (18),0.95 (30),2.44 (4),0.00 (2),0.00 (2),
578774,Anonymous,35.56 (68),0.94 (70),0.48 (14),0.00 (2),0.00 (2),
578756,Anonymous,36.60 (41),0.95 (51),0.00 (23),0.00 (2),0.00 (2),
578720,Anonymous,37.29 (4),0.95 (15),0.00 (23),0.00 (2),0.00 (2),
578563,Anonymous,37.08 (10),0.95 (10),5.12 (3),0.00 (2),0.00 (2),
578527,Anonymous,33.04 (73),0.90 (74),0.00 (23),0.00 (2),0.00 (2),
578511,Anonymous,36.34 (53),0.95 (58),0.00 (23),0.00 (2),0.00 (2),
