submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
578907,Anonymous,31.84 (1),0.90 (1),10.00 (2),1.00 (1),0.00 (1),
588125,Anonymous,31.59 (2),0.89 (3),-1.00 (5),-1.00 (3),-1.00 (2),
539846,Anonymous,31.59 (3),0.89 (2),-1.00 (5),-1.00 (3),-1.00 (2),
586945,Anonymous,31.12 (4),0.89 (4),-1.00 (5),-1.00 (3),-1.00 (2),
535348,Anonymous,31.11 (5),0.89 (5),-1.00 (5),-1.00 (3),-1.00 (2),
532429,Anonymous,31.06 (6),0.89 (7),-1.00 (5),-1.00 (3),-1.00 (2),
543625,Anonymous,31.03 (7),0.89 (6),100.00 (1),0.00 (2),0.00 (1),
600779,Anonymous,31.00 (8),0.89 (9),-1.00 (5),-1.00 (3),-1.00 (2),
699841,Anonymous,30.96 (9),0.89 (8),-1.00 (5),0.00 (2),0.00 (1),
587397,Anonymous,30.89 (10),0.88 (10),-1.00 (5),-1.00 (3),-1.00 (2),
535465,Anonymous,30.86 (11),0.88 (11),-1.00 (5),-1.00 (3),-1.00 (2),
532180,Anonymous,30.78 (12),0.88 (12),0.45 (3),0.00 (2),0.00 (1),
535234,Anonymous,30.40 (13),0.87 (13),-1.00 (5),0.00 (2),0.00 (1),
530982,Anonymous,30.02 (14),0.87 (14),-1.00 (5),-1.00 (3),-1.00 (2),
530076,Anonymous,30.02 (14),0.87 (14),-1.00 (5),-1.00 (3),-1.00 (2),
538414,Anonymous,9.92 (15),0.51 (15),0.04 (4),0.00 (2),0.00 (1),
