submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP large,AP medium,AP small,AR large,AR max=1,AR max=10,AR max=100,AR medium,AR small
615611,jerryz,0.47 (1),0.70 (1),0.51 (1),0.61 (5),0.50 (1),0.31 (1),0.75 (1),0.36 (1),0.57 (1),0.60 (1),0.64 (1),0.44 (1),
502983,ccs1997,0.45 (2),0.69 (3),0.50 (2),0.65 (1),0.49 (2),0.25 (4),0.74 (2),0.35 (2),0.56 (2),0.59 (2),0.63 (2),0.41 (3),
508726,ChunyuXie,0.45 (3),0.69 (2),0.49 (3),0.62 (3),0.48 (3),0.27 (3),0.70 (7),0.34 (3),0.54 (5),0.56 (5),0.59 (6),0.41 (4),
646600,edixius,0.44 (4),0.66 (5),0.48 (4),0.58 (6),0.47 (4),0.27 (3),0.70 (8),0.34 (5),0.53 (6),0.56 (6),0.59 (7),0.38 (6),
499119,huochen,0.44 (5),0.67 (4),0.48 (5),0.63 (2),0.47 (5),0.24 (5),0.74 (3),0.34 (3),0.54 (4),0.57 (4),0.61 (4),0.39 (5),
768095,Guyz,0.43 (6),0.66 (6),0.47 (6),0.55 (9),0.46 (6),0.28 (2),0.72 (6),0.34 (4),0.55 (3),0.58 (3),0.62 (3),0.44 (2),
501036,JLU_thunder,0.41 (7),0.64 (7),0.45 (7),0.62 (4),0.44 (7),0.21 (8),0.72 (5),0.33 (6),0.52 (7),0.55 (7),0.58 (8),0.36 (7),
885161,KG,0.40 (8),0.63 (8),0.42 (8),0.55 (8),0.43 (8),0.22 (6),0.73 (4),0.32 (7),0.51 (8),0.54 (8),0.60 (5),0.34 (8),
666155,amol.sadasivan,0.36 (9),0.58 (9),0.39 (9),0.49 (11),0.40 (10),0.21 (7),0.63 (12),0.31 (8),0.47 (10),0.49 (10),0.52 (11),0.32 (10),
667602,amit256,0.36 (10),0.57 (10),0.39 (10),0.48 (12),0.39 (11),0.20 (9),0.64 (11),0.30 (9),0.48 (9),0.50 (9),0.54 (10),0.32 (9),
648394,Zhihao,0.36 (11),0.57 (11),0.38 (11),0.52 (10),0.40 (9),0.15 (11),0.67 (10),0.30 (10),0.46 (11),0.48 (11),0.52 (11),0.26 (13),
621502,eddywang,0.35 (12),0.56 (12),0.37 (12),0.56 (7),0.39 (12),0.13 (13),0.69 (9),0.29 (11),0.45 (12),0.47 (12),0.54 (9),0.22 (14),
768237,Huang96,0.33 (13),0.57 (10),0.33 (13),0.45 (13),0.36 (13),0.17 (10),0.60 (13),0.28 (12),0.43 (13),0.45 (13),0.49 (12),0.27 (11),
617160,Hana,0.31 (14),0.52 (13),0.32 (14),0.45 (14),0.34 (14),0.14 (12),0.59 (14),0.27 (13),0.42 (14),0.44 (14),0.49 (13),0.26 (12),
1130470,yang11,0.22 (15),0.37 (15),0.24 (15),0.32 (15),0.25 (15),0.09 (14),0.50 (15),0.23 (14),0.35 (15),0.36 (15),0.39 (14),0.18 (15),
768076,bingfeng.zhang,0.20 (16),0.42 (14),0.17 (16),0.31 (16),0.21 (16),0.08 (15),0.47 (16),0.20 (15),0.31 (16),0.33 (16),0.34 (15),0.17 (16),
675590,sawwhite,0.11 (17),0.33 (16),0.06 (17),0.16 (17),0.13 (17),0.08 (16),0.28 (17),0.13 (16),0.20 (17),0.21 (17),0.22 (16),0.14 (17),
666119,Kailashnath,0.10 (18),0.29 (17),0.05 (18),0.16 (18),0.10 (18),0.05 (17),0.23 (19),0.11 (17),0.15 (18),0.15 (18),0.15 (17),0.07 (18),
1117593,kasurashan,0.05 (19),0.16 (18),0.02 (19),0.10 (19),0.05 (19),0.01 (18),0.25 (18),0.08 (18),0.12 (19),0.14 (19),0.13 (18),0.03 (19),
1097797,TipoLaman,0.00 (20),0.01 (19),0.00 (20),0.00 (20),0.00 (20),0.00 (19),0.00 (21),0.00 (20),0.00 (21),0.00 (21),0.00 (20),0.00 (21),
1136897,samyuz,0.00 (21),0.00 (20),0.00 (21),0.00 (21),0.00 (21),0.00 (20),0.02 (20),0.01 (19),0.01 (20),0.01 (20),0.02 (19),0.01 (20),
762575,y6222534,0.00 (21),0.00 (20),0.00 (21),0.00 (21),0.00 (21),0.00 (20),0.00 (22),0.00 (21),0.00 (22),0.00 (22),0.00 (21),0.00 (22),
