submission_pk,User,MeanSSIM
618685,thaithanhtuan,75.64 (1),
619753,MoShuShi,75.29 (2),
606462,saberZero,73.52 (3),
620872,DeepBlueAI,73.20 (4),
620868,acdart,65.53 (5),
659334,rxmao,58.50 (6),
620946,ajong,58.50 (6),
605748,yunfeng,58.50 (6),
604642,neptuneai,58.50 (6),
