submission_pk,User,Accuracy
510006,MartinaC,0.7800 (1),
509971,TheStonks,0.7733 (2),
510005,stocastico,0.7667 (3),
509998,Rated-E,0.7667 (3),
509975,Johnn,0.7667 (3),
510007,PHEY,0.7600 (4),
510016,serendipity,0.7467 (5),
509991,SPM,0.7400 (6),
509990,PartTimeTeam,0.7400 (6),
509983,Delu,0.7400 (6),
509996,Nyquist,0.7333 (7),
509992,albi_pagno,0.7333 (7),
510010,Bazinga,0.7267 (8),
510012,AFR,0.7000 (9),
509963,Magnani_Pasolini,0.6467 (10),
509987,prisca-magadjou,0.5667 (11),
509967,UniUrboss,0.5600 (12),
509999,crocco,0.4933 (13),
510014,FedeOx,0.4733 (14),
510011,SpaceMonkeys,0.4333 (15),
