submission_pk,User,CIDEr,Bleu-1,Bleu-2,Bleu-3,Bleu-4,METEOR,ROUGE-L
747555,jackson,0.47 (1),0.74 (4),0.54 (3),0.39 (3),0.29 (3),0.33 (1),0.53 (3),
758121,jou,0.43 (2),0.77 (1),0.57 (1),0.41 (1),0.30 (1),0.33 (3),0.55 (1),
759918,cylie,0.41 (3),0.76 (2),0.56 (2),0.41 (2),0.30 (2),0.33 (2),0.55 (2),
597847,cyril1994,0.36 (4),0.74 (3),0.54 (4),0.37 (4),0.25 (4),0.30 (4),0.52 (4),
924666,wulalabro,0.29 (5),0.68 (5),0.49 (5),0.34 (5),0.23 (5),0.28 (5),0.47 (5),
905719,mhttx,0.26 (6),0.66 (6),0.47 (6),0.31 (6),0.21 (6),0.28 (6),0.46 (6),
