submission_pk,User,AP @ 0.50:0.95,AP @ 0.50,AP @ 0.75,AP @ 0.50:0.95 (small),AP @ 0.50:0.95 (medium),AP @ 0.50:0.95 (large),Execution time
976624,ZhangYuqi,0.439 (1),0.439 (33),0.439 (1),0.335 (1),0.417 (1),0.324 (1),26.9 (31),
982112,PZH,0.305 (2),0.655 (1),0.241 (3),0.153 (2),0.275 (3),0.228 (19),149.3 (7),
982086,CS21,0.304 (3),0.644 (11),0.243 (2),0.115 (15),0.273 (5),0.237 (6),213.4 (3),
982106,IPIU-XDU,0.302 (4),0.649 (4),0.237 (7),0.129 (3),0.277 (2),0.232 (12),118.8 (11),
982020,Puffs,0.301 (5),0.642 (14),0.236 (9),0.117 (10),0.272 (9),0.237 (7),150.1 (6),
976145,sk15,0.301 (6),0.639 (18),0.239 (5),0.111 (19),0.273 (7),0.233 (11),130.7 (10),
978588,Holloman,0.300 (7),0.648 (5),0.231 (15),0.118 (6),0.272 (8),0.238 (4),80.8 (15),
978138,tianjian,0.300 (8),0.643 (13),0.239 (4),0.114 (16),0.273 (6),0.230 (14),58.6 (19),
978559,kangjia,0.300 (9),0.648 (6),0.230 (16),0.117 (9),0.272 (10),0.239 (2),69.0 (17),
977562,yilupingan,0.300 (10),0.648 (7),0.230 (18),0.117 (7),0.272 (11),0.239 (3),50.2 (24),
978467,dauphin,0.300 (11),0.649 (2),0.230 (17),0.115 (14),0.271 (12),0.237 (9),50.5 (23),
976070,TomAndJerry,0.299 (12),0.644 (10),0.232 (13),0.119 (5),0.271 (13),0.225 (23),108.6 (12),
978313,jahongir7174,0.299 (13),0.637 (20),0.237 (6),0.104 (24),0.274 (4),0.230 (15),101.4 (13),
972936,Forever,0.299 (14),0.641 (15),0.233 (11),0.112 (18),0.271 (14),0.229 (16),271.6 (1),
976142,never,0.299 (15),0.639 (19),0.236 (8),0.119 (4),0.268 (19),0.228 (20),134.5 (9),
976004,littlefish12,0.299 (16),0.637 (21),0.233 (12),0.116 (11),0.267 (21),0.232 (13),208.2 (4),
977351,vantage,0.299 (17),0.649 (3),0.227 (22),0.115 (12),0.270 (16),0.237 (5),71.5 (16),
977346,martinodum,0.298 (18),0.647 (9),0.226 (24),0.114 (17),0.271 (15),0.237 (8),48.6 (26),
979142,lucky15,0.297 (19),0.635 (22),0.235 (10),0.108 (22),0.267 (22),0.229 (18),56.1 (20),
974389,mlxgzzz,0.297 (20),0.643 (12),0.228 (21),0.117 (8),0.267 (20),0.224 (24),171.2 (5),
972329,Spring-flower,0.297 (21),0.640 (16),0.229 (19),0.108 (21),0.270 (17),0.229 (17),213.8 (2),
972337,vansss,0.297 (22),0.647 (8),0.227 (23),0.108 (20),0.269 (18),0.234 (10),62.0 (18),
975992,UZIQAQ,0.294 (23),0.640 (17),0.225 (26),0.115 (13),0.261 (25),0.225 (22),135.7 (8),
974622,FreedomD,0.294 (24),0.630 (23),0.231 (14),0.107 (23),0.266 (24),0.223 (25),41.4 (28),
961602,Shohruh,0.292 (25),0.625 (24),0.229 (20),0.097 (29),0.266 (23),0.225 (21),48.4 (27),
974901,heboyong,0.287 (26),0.622 (25),0.225 (25),0.102 (26),0.258 (26),0.221 (27),52.5 (22),
951239,ZhangYuqi,0.286 (27),0.620 (26),0.220 (27),0.101 (27),0.253 (27),0.222 (26),49.1 (25),
977568,IPIU666,0.281 (28),0.619 (27),0.212 (29),0.104 (25),0.244 (29),0.213 (30),55.0 (21),
970743,ycybiubiu,0.277 (29),0.617 (28),0.205 (30),0.097 (28),0.246 (28),0.216 (28),96.2 (14),
970771,shawxiao,0.272 (30),0.588 (29),0.214 (28),0.083 (30),0.242 (30),0.214 (29),40.9 (29),
970196,haoxingmeng,0.265 (31),0.584 (31),0.200 (31),0.066 (33),0.234 (31),0.210 (31),21.1 (32),
921717,oskayhan,0.258 (32),0.587 (30),0.185 (33),0.078 (31),0.217 (32),0.202 (32),21.1 (33),
962041,lxa,0.252 (33),0.551 (32),0.198 (32),0.075 (32),0.217 (33),0.193 (33),15.7 (34),
955743,czw_,0.023 (34),0.061 (34),0.011 (34),0.003 (34),0.024 (34),0.018 (34),35.6 (30),
