submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
1145107,PaulHT,11.7784 (120),0.1166 (126),-1.0000 (1),-1.0 (3),-1.0 (1),
966217,owen718,17.2662 (97),0.7270 (92),-1.0000 (1),-1.0 (3),-1.0 (1),
955261,YuxuLu,10.1970 (125),0.2361 (123),-1.0000 (1),-1.0 (3),-1.0 (1),
916145,memelvin99,17.7016 (84),0.7417 (84),-1.0000 (1),-1.0 (3),-1.0 (1),
906492,hrishikeshps,19.8530 (34),0.7537 (77),-1.0000 (1),-1.0 (3),-1.0 (1),
838924,tongxiao.rtx,19.9529 (29),0.7903 (54),-1.0000 (1),-1.0 (3),-1.0 (1),
838275,junjieliu_scut,11.6309 (121),0.1173 (125),-1.0000 (1),-1.0 (3),-1.0 (1),
837934,YudongWang,20.7974 (9),0.8226 (5),-1.0000 (1),-1.0 (3),-1.0 (1),
837933,TJUWDB_1,20.7658 (11),0.8219 (7),-1.0000 (1),-1.0 (3),-1.0 (1),
837774,waves,18.3376 (69),0.7609 (72),-1.0000 (1),-1.0 (3),-1.0 (1),
837671,WangYudong,20.7974 (9),0.8226 (5),-1.0000 (1),-1.0 (3),-1.0 (1),
837629,TJUWDB_2,20.7812 (10),0.8213 (10),-1.0000 (1),-1.0 (3),-1.0 (1),
837572,alibaba-cipp,20.9514 (3),0.7986 (44),-1.0000 (1),-1.0 (3),-1.0 (1),
837410,buaa_colab,20.7497 (12),0.8237 (3),-1.0000 (1),-1.0 (3),-1.0 (1),
837268,peter123,20.9209 (5),0.7986 (43),-1.0000 (1),-1.0 (3),-1.0 (1),
835707,xiaodou,19.6846 (38),0.7917 (52),-1.0000 (1),-1.0 (3),-1.0 (1),
831431,glassy,19.5692 (43),0.8200 (12),-1.0000 (1),0.0 (2),-1.0 (1),
831055,ken103,20.9258 (4),0.8174 (17),-1.0000 (1),-1.0 (3),-1.0 (1),
830642,DeepBlueAI,20.8574 (8),0.8216 (9),-1.0000 (1),-1.0 (3),-1.0 (1),
830039,eason97,21.6815 (1),0.8344 (1),-1.0000 (1),-1.0 (3),-1.0 (1),
830001,Huan,20.7424 (13),0.8191 (14),-1.0000 (1),-1.0 (3),-1.0 (1),
829995,niangao,20.8883 (7),0.8166 (20),-1.0000 (1),-1.0 (3),-1.0 (1),
828759,T303,20.0178 (27),0.8179 (16),-1.0000 (1),-1.0 (3),-1.0 (1),
828223,wyboooo,19.3878 (46),0.7056 (98),-1.0000 (1),0.0 (2),-1.0 (1),
828090,ame,19.9359 (30),0.8143 (24),-1.0000 (1),-1.0 (3),-1.0 (1),
827664,username23,20.3556 (19),0.7934 (49),-1.0000 (1),-1.0 (3),-1.0 (1),
825817,A303,20.2807 (22),0.8158 (22),-1.0000 (1),-1.0 (3),-1.0 (1),
825311,zy159864,16.7813 (106),0.5703 (117),-1.0000 (1),-1.0 (3),-1.0 (1),
825266,notdehaze,20.3309 (21),0.7934 (50),-1.0000 (1),-1.0 (3),-1.0 (1),
823613,Zzy979797,17.7701 (83),0.7343 (88),-1.0000 (1),-1.0 (3),-1.0 (1),
823056,TJUWDB,20.0795 (25),0.8083 (30),-1.0000 (1),-1.0 (3),-1.0 (1),
822471,Ayf,19.6043 (42),0.8016 (38),-1.0000 (1),-1.0 (3),-1.0 (1),
819638,hirakara,17.5145 (91),0.7757 (62),-1.0000 (1),-1.0 (3),-1.0 (1),
818811,jiangrui,12.0521 (119),0.5790 (116),-1.0000 (1),-1.0 (3),-1.0 (1),
817345,haichuan,18.9098 (56),0.7899 (55),-1.0000 (1),-1.0 (3),-1.0 (1),
815499,ITBA303,20.5947 (14),0.8010 (39),-1.0000 (1),-1.0 (3),-1.0 (1),
815084,LuoJun,18.2236 (73),0.7876 (57),-1.0000 (1),-1.0 (3),-1.0 (1),
809616,JUNHWAKIM,17.8685 (82),0.7310 (91),-1.0000 (1),-1.0 (3),-1.0 (1),
808341,asakusa,20.1685 (24),0.7769 (61),-1.0000 (1),0.0 (2),-1.0 (1),
805419,drevo,17.2537 (98),0.7431 (82),-1.0000 (1),-1.0 (3),-1.0 (1),
804836,zhc123,18.0719 (77),0.7862 (58),-1.0000 (1),-1.0 (3),-1.0 (1),
804502,HaoqiangYang,20.0611 (26),0.7909 (53),-1.0000 (1),-1.0 (3),-1.0 (1),
