submission_pk,User,Meteor,BLEU
479470,jindra.helcl,30.64 (1),31.80 (1),
479274,renj,29.46 (2),30.25 (2),
476018,chiraag,29.23 (3),27.70 (3),
475612,fblain,27.70 (4),26.47 (4),
