submission_pk,User,Top-1 Accuracy (%),Top-1 Accuracy (%),Top-1 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Precision (%),Precision (%),Precision (%),Recall (%),Recall (%),Recall (%)
,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action
1021882,royd,22.03 (1),38.29 (2),13.08 (1),12.20 (1),,,,,,,,,,,,,
1018088,allenxuuu,17.75 (2),38.51 (1),9.40 (4),10.46 (2),,,,,,,,,,,,,
822549,shef,16.84 (3),36.52 (4),9.71 (2),10.11 (3),,,,,,,,,,,,,
625106,action_banks,16.64 (4),36.06 (5),9.64 (3),10.05 (4),,,,,,,,,,,,,
622181,chengyi,16.02 (5),37.11 (3),8.68 (5),8.70 (5),,,,,,,,,,,,,
623710,edessale,16.02 (5),34.53 (9),4.03 (18),5.36 (15),,,,,,,,,,,,,
904273,guglielmocamporese_VIMP,15.92 (6),35.83 (6),7.31 (8),7.84 (10),,,,,,,,,,,,,
820391,BonnTME,15.45 (7),34.37 (11),6.94 (10),8.40 (6),,,,,,,,,,,,,
514400,aptx4869lm,15.42 (8),34.29 (12),6.93 (11),7.88 (9),,,,,,,,,,,,,
482052,antoninofurnari,15.25 (9),35.13 (7),8.41 (6),8.05 (7),,,,,,,,,,,,,
671992,Yu_Wu,14.66 (10),34.98 (8),6.66 (13),7.08 (13),,,,,,,,,,,,,
684246,garyfuvv,14.39 (11),33.71 (13),7.33 (7),7.66 (11),,,,,,,,,,,,,
850015,isiasic_123,14.25 (12),33.12 (14),7.20 (9),7.90 (8),,,,,,,,,,,,,
940337,Nada_Osman,14.22 (13),34.47 (10),6.77 (12),7.60 (12),,,,,,,,,,,,,
1140269,zhbqi,13.79 (14),32.88 (15),5.46 (15),6.06 (14),,,,,,,,,,,,,
919201,debadityaroy,10.85 (15),30.83 (16),3.81 (19),4.49 (17),,,,,,,,,,,,,
622043,roi_graph,10.76 (16),21.70 (20),4.84 (16),4.26 (19),,,,,,,,,,,,,
521182,hepic,8.98 (17),24.15 (18),2.89 (22),2.94 (22),,,,,,,,,,,,,
509346,reza_zlf,8.30 (18),25.55 (17),5.67 (14),4.80 (16),,,,,,,,,,,,,
656298,wangnn3,8.13 (19),21.54 (21),2.79 (23),3.20 (21),,,,,,,,,,,,,
