submission_pk,User,Top-1 Accuracy (%),Top-1 Accuracy (%),Top-1 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Precision (%),Precision (%),Precision (%),Recall (%),Recall (%),Recall (%)
,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action
731051,lyttonhao,7.46 (20),19.63 (22),3.64 (20),3.45 (20),,,,,,,,,,,,,
514433,prefact,7.44 (21),23.10 (19),4.51 (17),4.47 (18),,,,,,,,,,,,,
481120,EPIC_TSN_RGB,6.00 (22),18.21 (23),3.47 (21),2.64 (23),,,,,,,,,,,,,
628018,achakr37,4.67 (23),10.60 (26),2.14 (25),2.48 (24),,,,,,,,,,,,,
481121,EPIC_TSN_Fusion,4.62 (24),16.01 (24),2.49 (24),1.72 (25),,,,,,,,,,,,,
957714,sloh101010,3.02 (25),9.98 (27),0.10 (28),0.40 (29),,,,,,,,,,,,,
481122,EPIC_TSN_Flow,2.93 (26),10.92 (25),1.56 (26),1.11 (27),,,,,,,,,,,,,
490466,jianjiangkcl,2.04 (27),5.85 (28),0.98 (27),1.23 (26),,,,,,,,,,,,,
481160,masterchef,1.58 (28),5.85 (28),0.07 (29),0.52 (28),,,,,,,,,,,,,
submission_pk,User,Top-1 Accuracy (%),Top-1 Accuracy (%),Top-1 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Precision (%),Precision (%),Precision (%),Recall (%),Recall (%),Recall (%)
,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action
1021882,royd,13.28 (1),24.24 (4),8.73 (1),8.29 (1),,,,,,,,,,,,,
623710,edessale,11.81 (2),23.76 (5),4.52 (5),5.65 (6),,,,,,,,,,,,,
1018088,allenxuuu,10.93 (3),24.75 (1),5.30 (2),6.83 (2),,,,,,,,,,,,,
822549,shef,10.41 (4),24.27 (3),4.84 (4),6.41 (3),,,,,,,,,,,,,
622181,chengyi,10.11 (5),23.46 (7),4.28 (8),5.97 (5),,,,,,,,,,,,,
625106,action_banks,10.04 (6),23.42 (8),4.92 (3),6.26 (4),,,,,,,,,,,,,
514400,aptx4869lm,9.94 (7),23.69 (6),4.40 (6),5.18 (9),,,,,,,,,,,,,
904273,guglielmocamporese_VIMP,9.73 (8),24.38 (2),3.87 (9),5.19 (8),,,,,,,,,,,,,
850015,isiasic_123,9.35 (9),21.65 (13),3.30 (14),5.06 (10),,,,,,,,,,,,,
671992,Yu_Wu,9.25 (10),22.19 (9),3.47 (12),5.21 (7),,,,,,,,,,,,,
482052,antoninofurnari,9.12 (11),21.88 (11),3.16 (16),4.55 (13),,,,,,,,,,,,,
1140269,zhbqi,8.91 (12),22.16 (10),3.45 (13),4.29 (14),,,,,,,,,,,,,
820391,BonnTME,8.91 (12),21.68 (12),4.35 (7),4.94 (11),,,,,,,,,,,,,
684246,garyfuvv,8.19 (13),21.07 (14),3.64 (11),4.84 (12),,,,,,,,,,,,,
919201,debadityaroy,6.76 (14),20.04 (15),2.23 (18),3.34 (16),,,,,,,,,,,,,
622043,roi_graph,6.25 (15),13.11 (17),3.24 (15),3.57 (15),,,,,,,,,,,,,
656298,wangnn3,5.50 (16),14.27 (16),1.07 (23),2.33 (18),,,,,,,,,,,,,
514433,prefact,4.81 (17),14.27 (16),3.75 (10),3.26 (17),,,,,,,,,,,,,
521182,hepic,4.64 (18),14.27 (16),2.56 (17),1.98 (20),,,,,,,,,,,,,
940337,Nada_Osman,4.37 (19),12.70 (19),1.21 (21),2.24 (19),,,,,,,,,,,,,
731051,lyttonhao,3.35 (20),9.53 (21),1.97 (20),1.91 (22),,,,,,,,,,,,,
509346,reza_zlf,3.18 (21),12.91 (18),2.04 (19),1.92 (21),,,,,,,,,,,,,
957714,sloh101010,2.97 (22),9.22 (22),0.16 (28),0.66 (27),,,,,,,,,,,,,
481120,EPIC_TSN_RGB,2.39 (23),9.63 (20),0.89 (25),1.20 (23),,,,,,,,,,,,,
628018,achakr37,2.25 (24),7.17 (25),0.67 (26),0.98 (24),,,,,,,,,,,,,
481122,EPIC_TSN_Flow,1.78 (25),8.19 (24),1.14 (22),0.94 (25),,,,,,,,,,,,,
481121,EPIC_TSN_Fusion,1.74 (26),9.05 (23),1.00 (24),0.88 (26),,,,,,,,,,,,,
481160,masterchef,0.89 (27),3.72 (26),0.10 (29),0.34 (28),,,,,,,,,,,,,
490466,jianjiangkcl,0.68 (28),2.77 (27),0.54 (27),0.30 (29),,,,,,,,,,,,,
