submission_pk,User,DER,JER
713436,mandalorian,6.2308 (1),21.5206 (3),
713445,landini,8.1243 (2),18.3487 (1),
711431,DKU-DukeECE,9.7879 (3),20.6747 (2),
712710,Rhinos,10.4502 (4),22.6914 (6),
713415,jsdtwry,10.4590 (5),23.4569 (9),
712465,njz,10.4852 (6),22.5556 (4),
712672,TK,10.5062 (7),23.5219 (10),
713393,fxi,11.9959 (8),23.1379 (8),
713355,sgspk,12.0780 (9),23.1356 (7),
713475,gmh2020,12.1705 (10),23.7903 (12),
710043,paranoid_android,14.1094 (11),72.0426 (17),
713100,deg,15.9206 (12),22.6322 (5),
711702,shengyu,18.0086 (13),23.7319 (11),
713462,EML,20.7556 (14),43.6009 (15),
712218,Jaesung2,21.1000 (15),39.3167 (14),
682061,vggoxford,21.7465 (16),51.8923 (16),
704782,amin.moghaddam,28.6104 (17),32.0122 (13),
