submission_pk,User,MSE
1004374,liliangong,0.0374 (1),
992612,posanlang,0.0434 (2),
1120415,kevinygao,0.0652 (3),
1021631,tanmayd27,0.0711 (4),
919444,yshi26,0.0711 (4),
