submission_pk,User,score
882471,kjbarker,0.8444 (1),
882457,tanfiona,0.8120 (2),
882467,hansih,0.8040 (3),
882469,vivekkalyanHS,0.7901 (4),
882463,fcelik,0.7867 (5),
882475,skent,0.7705 (6),
