submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940950,joanne.wjy,2.60 (1),0.8060 (1),0.5338 (1),0.3881 (1),2244030744.0 (5),560981507.0 (5),
933406,hantae.kim,4.60 (4),0.7927 (2),0.5715 (4),0.3923 (3),2503797760.0 (7),611278859.0 (7),
940519,IST-Unbabel,5.80 (7),0.7921 (3),0.5825 (5),0.4115 (5),4872322439.0 (8),1214683792.0 (8),
952309,kw,3.60 (2),0.7893 (4),0.5514 (2),0.3899 (2),2244030744.0 (5),560981507.0 (5),
940225,HW-TSC,4.00 (3),0.7866 (5),0.5539 (3),0.3972 (4),2243941083.0 (4),560941057.0 (4),
933808,gregor_geigle,6.40 (8),0.7643 (6),0.6293 (7),0.4367 (7),2382759964.0 (6),595689991.0 (6),
937106,shaun.lim,5.00 (5),0.7436 (7),0.6149 (6),0.4206 (6),1249902592.0 (3),297974795.0 (3),
940548,fblain,5.60 (6),0.6766 (8),0.7019 (8),0.4916 (8),1142413043.0 (2),281291535.0 (2),
939532,shakedme,5.80 (7),0.4196 (9),1.0258 (9),0.7947 (9),626401280.0 (1),156589824.0 (1),
