submission_pk,User,correct
712149,jilongwang,66.7 (1),
717129,BeibeiLin,63.0 (2),
712741,brl,54.1 (3),
721554,panfengzhang,53.4 (4),
721684,ctsu-ca,51.5 (5),
721285,ywang26,50.3 (6),
717119,Wbz,49.3 (7),
721656,HeHaodi,49.2 (8),
720922,YS94,49.0 (9),
714904,kouen93,47.9 (10),
716005,recognizer,43.6 (11),
714898,color,33.1 (12),
717144,yuanhao,32.0 (13),
718105,vpromise,30.2 (14),
719475,zhangchaoyue,25.6 (15),
713540,dmitrykonovalov,20.4 (16),
711969,XDH,20.2 (17),
719535,WenqiangJia,19.1 (18),
711999,sch,19.1 (19),
714201,Almph,18.8 (20),
712442,chnsduss,18.7 (21),
712282,annetalllll,18.7 (21),
712296,gganastasiya,18.7 (21),
712286,Nastasya,18.7 (21),
712284,juliamekys,18.7 (21),
712117,AVF1311,18.7 (21),
712824,yeming,15.8 (22),
721234,bhparmar,14.9 (23),
713709,Spade_S,14.1 (24),
715931,HwarangKim,11.0 (25),
715230,ETRI_DGRC,8.3 (26),
