submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
653944,HaodongYu,32.2430 (7),0.9143 (7),500.00 (1),0.00 (2),1.00 (1),
653015,tongtong,31.3044 (25),0.9090 (22),4.00 (16),0.00 (2),1.00 (1),
649916,jeasonzhou1,31.6428 (17),0.9124 (12),12.40 (12),0.00 (2),1.00 (1),
661320,wch1996,32.2824 (3),0.9158 (3),80.60 (3),0.00 (2),0.00 (2),
656003,Noah_TerminalVision,32.4126 (2),0.9172 (2),1.90 (18),0.00 (2),0.00 (2),
655232,ckames,30.9250 (28),0.9078 (24),36.00 (7),0.00 (2),0.00 (2),
655121,deandx,30.9289 (27),0.9091 (20),25.13 (9),0.00 (2),0.00 (2),
654765,LoveLetter,31.4519 (22),0.9091 (21),10.43 (14),0.00 (2),0.00 (2),
654477,consonCamera,32.2824 (3),0.9158 (3),80.60 (3),0.00 (2),0.00 (2),
654428,WCH_Camera,32.2460 (6),0.9156 (4),80.60 (3),0.00 (2),0.00 (2),
654273,o0w0o,32.2672 (5),0.9143 (8),29.00 (8),0.00 (2),0.00 (2),
654255,zunxun,32.2760 (4),0.9156 (5),80.60 (3),0.00 (2),0.00 (2),
653711,zhihongp,32.7908 (1),0.9200 (1),10.55 (13),0.00 (2),0.00 (2),
653541,ghgh3269,31.7903 (11),0.9099 (17),25.00 (10),1.00 (1),0.00 (2),
652928,qiuzhangTiTi,25.3605 (29),0.7965 (29),25.13 (9),0.00 (2),0.00 (2),
651794,kukudeni,31.7435 (13),0.9110 (13),10.43 (14),1.00 (1),0.00 (2),
650703,swz30,31.7855 (12),0.9132 (10),1.30 (19),0.00 (2),0.00 (2),
649913,AML-CV,31.5601 (19),0.9097 (18),500.00 (1),1.00 (1),0.00 (2),
648313,CKH_Camera,32.2421 (8),0.9149 (6),40.00 (6),0.00 (2),0.00 (2),
646408,kukudewo,31.7082 (14),0.9109 (14),10.43 (14),1.00 (1),0.00 (2),
645756,CETC-CCS,32.0170 (9),0.9129 (11),60.00 (4),0.00 (2),0.00 (2),
645392,DeepBlueAI,31.5066 (21),0.9106 (15),54.00 (5),0.00 (2),0.00 (2),
645133,hanyoseob,31.3877 (24),0.9106 (16),90.29 (2),0.00 (2),0.00 (2),
643581,XXH,31.9293 (10),0.9138 (9),60.00 (4),0.00 (2),0.00 (2),
641699,image_restore,31.4367 (23),0.9092 (19),3.00 (17),0.00 (2),0.00 (2),
638509,ZhiSong_Liu,31.2914 (26),0.9046 (25),25.00 (10),0.00 (2),0.00 (2),
634369,lixinhaha,31.5323 (20),0.9089 (23),3.00 (17),0.00 (2),0.00 (2),
633953,Timothy_Cilered,31.6464 (16),0.9041 (26),5.47 (15),0.00 (2),0.00 (2),
633726,ir1d,31.6646 (15),0.9026 (27),5.47 (15),0.00 (2),0.00 (2),
624438,zhaoxingjie,31.5712 (18),0.9019 (28),18.05 (11),0.00 (2),0.00 (2),
