submission_pk,User,AP,AP IoU=.50,AP IoU=.75,AP large,AP medium,AP small,AR large,AR max=1,AR max=10,AR max=100,AR medium,AR small
667954,ppdet,0.53 (1),0.77 (1),0.58 (1),0.67 (1),0.56 (1),0.36 (1),0.80 (1),0.38 (1),0.62 (1),0.66 (1),0.69 (1),0.51 (2),
667811,zengguang.shan,0.51 (2),0.74 (2),0.56 (2),0.65 (3),0.54 (2),0.36 (2),0.78 (2),0.38 (2),0.61 (2),0.65 (2),0.68 (2),0.51 (1),
667744,bot2020,0.48 (3),0.71 (5),0.52 (3),0.60 (7),0.50 (3),0.32 (3),0.74 (6),0.36 (5),0.58 (5),0.61 (4),0.64 (6),0.47 (3),
503030,youtube_test,0.47 (4),0.70 (7),0.52 (4),0.65 (2),0.50 (5),0.26 (6),0.77 (3),0.36 (6),0.58 (6),0.61 (5),0.65 (3),0.43 (7),
667805,CKboss,0.47 (5),0.72 (3),0.51 (5),0.60 (7),0.50 (4),0.30 (4),0.76 (4),0.36 (3),0.58 (3),0.61 (3),0.64 (5),0.45 (4),
667804,Shuchun_Liu,0.47 (6),0.72 (4),0.51 (5),0.60 (7),0.50 (4),0.30 (5),0.76 (4),0.36 (4),0.58 (4),0.61 (4),0.64 (4),0.45 (5),
504516,WYQ,0.46 (7),0.70 (6),0.50 (6),0.62 (5),0.48 (6),0.26 (7),0.74 (5),0.36 (7),0.57 (7),0.60 (6),0.63 (7),0.43 (6),
504365,WYQ,0.46 (8),0.70 (7),0.50 (8),0.62 (6),0.48 (7),0.25 (9),0.74 (5),0.35 (8),0.56 (8),0.59 (7),0.63 (8),0.42 (9),
504490,fan.baoyu,0.46 (9),0.69 (8),0.50 (7),0.62 (6),0.48 (7),0.26 (8),0.74 (7),0.35 (9),0.56 (9),0.59 (7),0.62 (9),0.42 (8),
496590,COCO_Y,0.44 (10),0.68 (9),0.48 (9),0.63 (4),0.47 (8),0.22 (10),0.74 (5),0.35 (10),0.55 (10),0.58 (8),0.62 (10),0.39 (10),
503606,ZhangYuqi,0.42 (11),0.65 (10),0.46 (10),0.60 (8),0.45 (9),0.22 (11),0.74 (8),0.34 (11),0.54 (11),0.58 (9),0.61 (11),0.39 (11),
502006,JLU_thunder,0.42 (12),0.65 (11),0.45 (11),0.60 (7),0.44 (10),0.20 (13),0.72 (9),0.34 (12),0.53 (12),0.56 (10),0.59 (12),0.36 (12),
667913,amit256,0.36 (13),0.58 (12),0.39 (12),0.47 (10),0.39 (11),0.21 (12),0.66 (10),0.31 (13),0.49 (13),0.51 (11),0.54 (13),0.33 (13),
501240,chongzhou96,0.31 (14),0.49 (13),0.32 (13),0.48 (9),0.32 (12),0.10 (14),0.61 (11),0.28 (14),0.40 (14),0.42 (12),0.45 (14),0.19 (14),
666090,bowang01,0.11 (15),0.31 (14),0.06 (14),0.14 (11),0.11 (13),0.07 (15),0.23 (12),0.12 (15),0.17 (15),0.17 (13),0.17 (15),0.09 (15),
664225,revanth.k,0.08 (16),0.21 (15),0.04 (15),0.11 (12),0.08 (14),0.03 (16),0.16 (13),0.08 (16),0.11 (16),0.11 (14),0.10 (16),0.03 (16),
651564,argusswift,0.00 (17),0.00 (16),0.00 (16),0.00 (13),0.00 (15),0.00 (17),0.00 (14),0.00 (17),0.00 (17),0.00 (15),0.00 (17),0.00 (17),
