submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
496680,zijundeng,27.07 (1),0.69 (1),2.85 (11),0.00 (2),0.00 (2),
496159,Mrobot0,27.01 (2),0.69 (2),21.79 (8),0.00 (2),0.00 (2),
496515,iim_lab,26.99 (3),0.69 (3),80.00 (3),0.00 (2),0.00 (2),
495973,kronos,26.88 (4),0.68 (7),40.26 (5),0.00 (2),0.00 (2),
496611,SkyeLU,26.85 (5),0.68 (4),22.13 (7),0.00 (2),0.00 (2),
496386,wy-sun16,26.84 (6),0.68 (6),4.00 (10),0.00 (2),1.00 (1),
496297,ZhiSong_Liu,26.81 (7),0.68 (5),60.12 (4),0.00 (2),0.00 (2),
567944,rptxk01,26.71 (8),0.68 (9),11.84 (9),1.00 (1),0.00 (2),
496465,cmsp-ct,26.66 (9),0.68 (8),60.12 (4),0.00 (2),0.00 (2),
496446,JuanLuisGonzalez,26.46 (10),0.67 (10),1.00 (12),0.00 (2),0.00 (2),
494934,shunliu,26.23 (11),0.65 (12),-1.00 (13),-1.00 (3),-1.00 (3),
495961,zrfan,25.86 (12),0.66 (11),2333.00 (1),0.00 (2),0.00 (2),
492974,lpj008,25.52 (13),0.65 (14),110.89 (2),0.00 (2),0.00 (2),
496223,XXH,25.33 (14),0.65 (13),25.00 (6),0.00 (2),0.00 (2),
489348,grimVision,24.73 (15),0.63 (16),1.00 (12),1.00 (1),0.00 (2),
486731,Radu,24.59 (16),0.63 (15),-1.00 (13),-1.00 (3),-1.00 (3),
