submission_pk,User,EER
1072537,Anonymous,4.8 (1),
1071623,Anonymous,7.9 (2),
1072648,Anonymous,10.7 (3),
1071988,Anonymous,16.6 (4),
1068548,Anonymous,25.6 (5),
1071109,Anonymous,30.6 (6),
1071068,Anonymous,34.6 (7),
1072614,Anonymous,34.7 (8),
1068383,Anonymous,35.4 (9),
1066144,Anonymous,36.3 (10),
1072231,Anonymous,38.6 (11),
1066176,Anonymous,38.6 (12),
1070118,Anonymous,40.5 (13),
1066783,Anonymous,40.8 (14),
1068431,Anonymous,40.9 (15),
1068402,Anonymous,42.5 (16),
1065827,Anonymous,42.9 (17),
1072424,Anonymous,43.7 (18),
1068710,Anonymous,47.2 (19),
1072985,Anonymous,50.0 (20),
1066499,Anonymous,50.6 (21),
1066913,Anonymous,54.0 (22),
1072999,Anonymous,55.2 (23),
1066935,Anonymous,55.8 (24),
1066747,Anonymous,57.0 (25),
