submission_pk,User,AP at IoU=.50:.05:.95,AP at IoU=.50,AP at IoU=.75,AP for small objects,AP for medium objects,AP for large objects
1095660,zhenek,0.482 (1),0.806 (2),0.513 (1),0.331 (2),0.640 (2),0.937 (1),
1116892,Luis_Cossio,0.482 (2),0.808 (1),0.510 (2),0.333 (1),0.642 (1),0.658 (12),
661395,CallumClark,0.441 (3),0.801 (3),0.440 (6),0.300 (3),0.589 (4),0.861 (7),
650052,kuka,0.436 (4),0.770 (5),0.453 (3),0.285 (5),0.592 (3),0.872 (4),
889010,teresa_n,0.432 (5),0.770 (6),0.442 (5),0.285 (6),0.584 (5),0.884 (3),
885048,teresa_li,0.430 (6),0.766 (7),0.437 (8),0.283 (7),0.584 (6),0.886 (2),
1126113,ronakk9,0.426 (7),0.762 (8),0.433 (9),0.275 (8),0.581 (8),0.825 (10),
593815,varun_shekar,0.426 (8),0.747 (10),0.443 (4),0.273 (11),0.583 (7),0.787 (11),
677621,wuhaogxu,0.422 (9),0.753 (9),0.438 (7),0.274 (9),0.579 (9),0.853 (9),
625307,leonardolima,0.419 (10),0.744 (11),0.431 (10),0.274 (10),0.571 (10),0.864 (5),
689157,cuge1995,0.415 (11),0.773 (4),0.412 (12),0.287 (4),0.553 (12),0.272 (13),
920005,feast,0.404 (12),0.724 (12),0.414 (11),0.257 (12),0.558 (11),0.862 (6),
656068,selimgonen,0.160 (13),0.291 (13),0.154 (13),0.034 (13),0.313 (13),0.856 (8),
1044991,Dhagash,0.000 (14),0.000 (14),0.000 (14),0.000 (14),0.000 (14),0.000 (14),
