submission_pk,User,score,operational cost,attention cost,Computation time
922280,adriankelly1,-24.75 (1),23.57 (1),-137.50 (1),1.28 (6),
937371,numahha,-36.91 (2),16.91 (2),-162.50 (2),0.98 (5),
963998,WillMaclean,-60.00 (3),0.00 (3),-200.00 (4),0.50 (4),
952131,PeterDykas,-60.00 (3),0.00 (3),-200.00 (4),0.50 (3),
951936,cmcm,-60.00 (3),0.00 (3),-200.00 (4),0.50 (2),
932272,xinzhixu,-60.00 (3),0.00 (3),-200.00 (4),0.45 (1),
959977,demondemo,-84.26 (4),-39.42 (4),-188.89 (3),60.03 (9),
924756,yolo6766,-89.30 (5),-41.86 (5),-200.00 (4),46.17 (8),
972553,shah.tapan.r,-117.80 (6),-82.57 (6),-200.00 (4),20.14 (7),
970145,xd_silly,-130.00 (7),-100.00 (7),-200.00 (4),99999.00 (10),
