submission_pk,User,macro F1,sentence,list,table,figure,header,footer,item,item,item2,item3,item4
787372,taka,0.073 (1),0.625 (1),0.000 (1),0.000 (1),0.000 (1),0.000 (1),0.000 (2),0.000 (1),0.000 (1),0.000 (1),0.000 (1),NaN (1),
775378,finsbd3_baseline,0.061 (2),0.512 (2),0.000 (1),0.000 (1),0.000 (1),0.000 (1),0.000 (2),0.000 (1),0.000 (1),0.000 (1),0.000 (1),NaN (1),
810359,Rihab,0.057 (3),0.475 (3),0.000 (1),0.000 (1),0.000 (1),0.000 (1),0.012 (1),0.000 (1),0.000 (1),0.000 (1),0.000 (1),NaN (1),
