submission_pk,User,Dose score,DVH score
639391,Hussain,2.0404 (1),1.6519 (13),
817961,APhun,2.3575 (2),1.4655 (1),
625282,LSL000UD,2.4294 (3),1.4776 (2),
638482,yangsen,2.5615 (4),1.5144 (3),
625520,SGay1,2.5635 (5),1.7045 (15),
625473,DanNguyen,2.6795 (6),1.5728 (8),
623419,czjsai,2.7449 (7),1.7408 (18),
634874,calvin89029,2.7479 (8),1.7067 (16),
625647,xuang,2.7528 (9),1.5559 (7),
624123,siriwillems,2.7785 (10),1.5515 (5),
625297,Mitty_M,2.8137 (11),1.5549 (6),
640426,Ramsy,2.8286 (12),1.5388 (4),
625523,jbb,2.8496 (13),1.6694 (14),
682047,RobZelluf,2.9320 (14),1.9256 (22),
625519,Pengzhao,2.9338 (15),1.6240 (11),
817227,CamilleDraguet,2.9439 (16),1.6306 (12),
625990,nuotong,2.9645 (17),1.6112 (10),
735580,liujg,3.0291 (18),1.8347 (19),
625947,Luliny,3.0402 (19),1.8777 (20),
716569,JulesD,3.0653 (20),1.7333 (17),
622409,nysuka,3.1864 (21),1.9018 (21),
625769,jecjimenezgi,3.2371 (22),1.6096 (9),
625538,hoyeon.lee,3.4323 (23),2.5512 (26),
625288,Sibaji,3.4468 (24),2.1014 (23),
1145814,swkim95,3.7091 (25),3.2948 (29),
625038,anilrai,3.7705 (26),2.3940 (24),
623760,jave80kw,3.8922 (27),2.4509 (25),
625909,YuliangHuang,3.9959 (28),3.2163 (28),
643008,simengzhu,4.1039 (29),2.6318 (27),
625301,Jeevanshu,5.4458 (30),3.7116 (30),
695644,zhuc,6.4212 (31),7.9789 (31),
625796,gechen,8.1646 (32),10.3617 (33),
624048,AlexanderOsman,14.6597 (33),8.3785 (32),
691162,jow,25.2309 (34),50.0642 (34),
895230,LFFF,50.4469 (35),50.3870 (35),
