submission_pk,User,min t-DCF,EER
994741,Anonymous,0.6848 (1),25.31 (1),
1041410,Anonymous,0.7033 (2),25.38 (2),
1138386,Anonymous,0.7162 (3),27.06 (3),
1076312,Anonymous,0.7710 (4),28.78 (4),
1063470,Anonymous,0.8539 (5),34.14 (5),
1082783,Anonymous,0.9210 (7),35.37 (6),
1044260,Anonymous,0.9062 (6),36.06 (7),
977251,Anonymous,0.9434 (9),38.07 (8),
1046502,Anonymous,0.9277 (8),38.11 (9),
1032120,Anonymous,0.9982 (14),39.44 (10),
977263,Anonymous,0.9724 (10),39.54 (11),
977267,Anonymous,0.9958 (13),44.77 (12),
980869,Anonymous,0.9852 (12),45.20 (13),
1144897,Anonymous,0.9754 (11),47.38 (14),
977285,Anonymous,0.9997 (15),48.60 (15),
1116624,Anonymous,0.9999 (16),49.50 (16),
1014213,Anonymous,1.0000 (17),49.79 (17),
