submission_pk,User,Global,Region J,Region J,Region J,Boundary F,Boundary F,Boundary F
,Mean,Mean,Recall,Decay,Mean,Recall,Decay
408665,lixx,0.699 (1),0.225 (7),0.241 (6),,,,,,,,
408632,apata,0.678 (2),0.277 (10),0.302 (9),,,,,,,,
408642,vantam299,0.638 (3),0.171 (4),0.176 (3),,,,,,,,
408698,haamooon,0.615 (4),0.219 (6),0.237 (5),,,,,,,,
408090,voigtlaender,0.577 (5),0.310 (12),0.347 (12),,,,,,,,
408631,lalalafine123,0.569 (6),0.344 (18),0.361 (13),,,,,,,,
408696,cjc,0.569 (6),0.253 (8),0.276 (7),,,,,,,,
408684,YXLKJ,0.558 (7),0.377 (21),0.429 (20),,,,,,,,
408699,wasidennis,0.548 (8),0.268 (9),0.288 (8),,,,,,,,
407523,Fromandtozh,0.539 (9),0.325 (14),0.337 (11),,,,,,,,
408429,zwrq0,0.536 (10),0.280 (11),0.304 (10),,,,,,,,
408615,drbear,0.519 (11),0.341 (17),0.395 (18),,,,,,,,
408659,anewswan,0.509 (12),0.213 (5),0.237 (5),,,,,,,,
408651,ilanv,0.497 (13),0.331 (16),0.364 (16),,,,,,,,
408435,koh,0.491 (14),0.361 (19),0.392 (17),,,,,,,,
408654,make,0.480 (15),0.402 (22),0.448 (21),,,,,,,,
408306,kozabu,0.478 (16),0.330 (15),0.363 (15),,,,,,,,
408702,xn8812,0.476 (17),0.167 (3),0.216 (4),,,,,,,,
408267,zpd,0.471 (18),0.318 (13),0.362 (14),,,,,,,,
408518,griffb,0.420 (19),0.374 (20),0.402 (19),,,,,,,,
408536,nitinsingh,0.256 (20),0.131 (1),0.130 (2),,,,,,,,
408661,Team542,0.112 (21),0.140 (2),0.126 (1),,,,,,,,
