submission_pk,User,AverageF1,AverageR,Accuracy
385635,SamB,0.57100 (1),0.60900 (1),0.57500 (1),
384837,mhjabreel,0.54500 (2),0.58400 (2),0.56600 (2),
384996,ramybaly,0.43400 (3),0.45800 (3),0.45300 (3),
382417,seirasto,0.24900 (4),0.33300 (4),0.33100 (4),
382437,noura,0.24900 (4),0.33300 (4),0.33100 (4),
382565,preslav,0.24900 (4),0.33300 (4),0.33100 (4),
