submission_pk,User,Accuracy (top-1)[%],Score2,Score3,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
831447,h_sk,27.273 (1),27.273 (1),27.273 (1),-1.0000 (1),-1.0 (3),-1.0 (3),
827735,shirly,26.883 (2),26.883 (2),26.883 (2),-1.0000 (1),-1.0 (3),-1.0 (3),
843720,yangchris11,24.545 (3),24.545 (3),24.545 (3),-1.0000 (1),-1.0 (3),-1.0 (3),
829589,MuXutong,23.896 (4),23.896 (4),23.896 (4),-1.0000 (1),-1.0 (3),-1.0 (3),
836921,ulosc,21.818 (5),21.818 (5),21.818 (5),0.0000 (2),0.0 (2),0.0 (2),
856842,Casian,20.390 (6),20.390 (6),20.390 (6),0.0200 (9),1.0 (1),0.0 (2),
834488,zhangxs,20.260 (7),20.260 (7),20.260 (7),0.0066 (7),0.0 (2),0.0 (2),
1108753,LinpengPan,19.870 (8),19.870 (8),19.870 (8),-1.0000 (1),-1.0 (3),-1.0 (3),
836626,dajeebonbon,19.870 (8),19.870 (8),19.870 (8),0.0010 (3),0.0 (2),0.0 (2),
837871,BipinJG,19.740 (9),19.740 (9),19.740 (9),0.0045 (5),0.0 (2),0.0 (2),
832581,LeonShangguan,19.221 (10),19.221 (10),19.221 (10),0.0597 (11),0.0 (2),0.0 (2),
832297,Summer_,18.831 (11),18.831 (11),18.831 (11),0.0066 (7),0.0 (2),0.0 (2),
827820,tanzhiwen,18.571 (12),18.571 (12),18.571 (12),-1.0000 (1),-1.0 (3),-1.0 (3),
830812,duanyuru,18.052 (13),18.052 (13),18.052 (13),0.4300 (16),0.0 (2),0.0 (2),
827460,ironheadkid,18.052 (13),18.052 (13),18.052 (13),10.4300 (17),1.0 (1),1.0 (1),
830027,caihuanqia,17.922 (14),17.922 (14),17.922 (14),0.0200 (9),0.0 (2),0.0 (2),
818117,BONG,17.792 (15),17.792 (15),17.792 (15),0.0400 (10),0.0 (2),0.0 (2),
835584,ga_z_a,17.273 (16),17.273 (16),17.273 (16),0.0400 (10),0.0 (2),0.0 (2),
787399,Arsene,17.273 (16),17.273 (16),17.273 (16),0.0200 (9),0.0 (2),0.0 (2),
848999,oooo0,16.883 (17),16.883 (17),16.883 (17),0.0048 (6),0.0 (2),0.0 (2),
785679,matcha-latte,16.883 (17),16.883 (17),16.883 (17),0.0026 (4),0.0 (2),0.0 (2),
829072,yulinfeifei,16.623 (18),16.623 (18),16.623 (18),10.4300 (17),1.0 (1),1.0 (1),
836192,hmhsu,16.494 (19),16.494 (19),16.494 (19),-1.0000 (1),-1.0 (3),-1.0 (3),
806349,chagmgang,16.364 (20),16.364 (20),16.364 (20),10.4300 (17),1.0 (1),1.0 (1),
916073,Sadman_Jahan,15.974 (21),15.974 (21),15.974 (21),0.2000 (15),0.0 (2),1.0 (1),
829377,vamshi,15.390 (22),15.390 (22),15.390 (22),-1.0000 (1),-1.0 (3),-1.0 (3),
830605,XuYifei,14.675 (23),14.675 (23),14.675 (23),-1.0000 (1),-1.0 (3),-1.0 (3),
818578,xsourse,14.675 (23),14.675 (23),14.675 (23),-1.0000 (1),-1.0 (3),-1.0 (3),
836995,kbiren,14.545 (24),14.545 (24),14.545 (24),0.0000 (2),0.0 (2),0.0 (2),
811456,DukeGOGOGO,14.545 (24),14.545 (24),14.545 (24),0.0100 (8),0.0 (2),0.0 (2),
832867,nemo31,14.416 (25),14.416 (25),14.416 (25),0.0100 (8),0.0 (2),0.0 (2),
782512,Iamajoker,14.286 (26),14.286 (26),14.286 (26),0.0000 (2),0.0 (2),1.0 (1),
775255,q935970314,14.286 (26),14.286 (26),14.286 (26),-1.0000 (1),-1.0 (3),-1.0 (3),
832538,NishantN,14.026 (27),14.026 (27),14.026 (27),0.0100 (8),0.0 (2),0.0 (2),
1108401,meye66,13.896 (28),13.896 (28),13.896 (28),-1.0000 (1),-1.0 (3),-1.0 (3),
814673,cc0109,13.896 (28),13.896 (28),13.896 (28),0.1000 (13),1.0 (1),0.0 (2),
806339,myfrannie,12.987 (29),12.987 (29),12.987 (29),10.4300 (17),1.0 (1),1.0 (1),
780375,DeepBlueAI,12.987 (29),12.987 (29),12.987 (29),10.4300 (17),1.0 (1),1.0 (1),
802041,FHH,12.857 (30),12.857 (30),12.857 (30),0.0688 (12),0.0 (2),0.0 (2),
830411,ziruosun,12.208 (31),12.208 (31),12.208 (31),-1.0000 (1),-1.0 (3),-1.0 (3),
811205,inkawhich,11.688 (32),11.688 (32),11.688 (32),0.0100 (8),0.0 (2),0.0 (2),
777372,DeepRed,10.649 (33),10.649 (33),10.649 (33),-1.0000 (1),-1.0 (3),-1.0 (3),
1100215,caoming,10.427 (34),10.427 (34),10.427 (34),-1.0000 (1),-1.0 (3),-1.0 (3),
811759,thiennt,8.961 (35),8.961 (35),8.961 (35),0.1400 (14),0.0 (2),0.0 (2),
808208,JWFrank,6.753 (36),6.753 (36),6.753 (36),0.0100 (8),1.0 (1),0.0 (2),
830940,GUI,4.156 (37),4.156 (37),4.156 (37),0.0200 (9),0.0 (2),0.0 (2),
830439,tigerccx,0.000 (38),0.000 (38),0.000 (38),-1.0000 (1),-1.0 (3),-1.0 (3),
