submission_pk,User,Accuracy,Macro averaged precision,Macro averaged recall,Macro averaged F1 score
889385,daveni,0.727657 (1),0.709411 (1),0.727657 (1),0.717028 (1),
890593,fyinh,0.722222 (2),0.704695 (2),0.722222 (2),0.711373 (2),
888177,HongxinLuo,0.712560 (3),0.704496 (3),0.712560 (3),0.705432 (3),
891141,JorgeFlores,0.702899 (4),0.692397 (4),0.702899 (4),0.696675 (4),
889373,hahalk,0.692029 (5),0.679620 (6),0.692029 (5),0.663740 (8),
890360,JAGD,0.685990 (6),0.672546 (7),0.685990 (6),0.668407 (7),
891253,ffm,0.684179 (7),0.682765 (5),0.684179 (7),0.682487 (5),
896579,fazlfrs,0.682367 (8),0.664868 (8),0.682367 (8),0.668757 (6),
896323,luischir,0.678140 (9),0.658314 (9),0.678140 (9),0.657367 (10),
890213,vitiugin,0.675725 (10),0.657681 (10),0.675725 (10),0.661427 (9),
895608,job80,0.668478 (11),0.652840 (12),0.668478 (11),0.646085 (11),
891103,aridearriba,0.652778 (12),0.600479 (14),0.652778 (12),0.622223 (12),
888819,Timen,0.617754 (13),0.597877 (15),0.617754 (13),0.600217 (13),
890915,QuSwe1d0n,0.536836 (14),0.653707 (11),0.536836 (14),0.557007 (14),
890810,qu,0.449879 (15),0.618833 (13),0.449879 (15),0.446947 (15),
