submission_pk,User,english,spanish
496251,fafner1111,26.839 (1),0.000 (2),
474757,charliebuckley29,24.797 (2),0.000 (2),
1094082,tantanita,19.595 (3),0.000 (2),
579325,Zeba,2.071 (4),3.145 (1),
438032,ewallac2,0.000 (5),0.000 (2),
454155,RunningMan_hamei,0.000 (5),0.000 (2),
