submission_pk,User,ARI (public),ARI (private)
439307,jamsic,0.3508 (1),0.3384 (1),
439298,Pavel,0.2812 (2),0.2818 (2),
439308,joystick,0.2477 (5),0.2579 (3),
439299,Timon,0.2360 (7),0.2434 (4),
439302,akutuzov,0.2448 (6),0.2415 (5),
439297,ezhick179,0.2599 (4),0.2284 (6),
439315,thebestdeeplearningspecialist,0.2178 (8),0.2227 (7),
439306,fogside,0.1661 (10),0.2154 (8),
439309,lopuhin,0.2624 (3),0.2132 (9),
439313,russewsi,0.2624 (3),0.2132 (9),
439300,aby2s,0.1722 (9),0.2102 (10),
439303,bokan,0.1363 (11),0.1515 (11),
439311,nsu_ai,0.1181 (13),0.1256 (12),
439301,akapustin,0.1322 (12),0.1190 (13),
439312,ostruyanskiy,0.0930 (14),0.1016 (14),
439310,mikhal,0.0437 (15),0.0403 (15),
439314,sreya1,0.0123 (16),0.0268 (16),
439304,dustalov,0.0000 (17),0.0000 (17),
439316,tpederse,0.0000 (17),0.0000 (17),
